t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err,fix_x,fix_y,fix_yaw,fix_err
1787534200.2089717,-2.4836068054398743,2.1433164334879048e-05,-0.0018630998212712758,,,,,,,,,
1787534200.3066418,-2.482548193554789,1.55626164451581e-05,-0.0017908601407560132,,,,,,,,,
1787534200.4282,-2.4808971521589056,8.435192241833451e-06,-0.001695802701763814,,,,,,,,,
1787534200.4930792,-2.4798469382911486,5.297903133933687e-06,-0.0016491546003355073,,,,,,,,,
1787534200.5701735,-2.4786453696488606,2.14325309173409e-06,-0.0015974740955153647,,,,,,,,,
1787534200.724016,-2.476680808965981,-6.860825279595312e-06,-0.0022566270212582345,-2.5,0.0,2.9718674410585573,0.0233,2.974,,,,
1787534200.8341668,-2.475152100649618,-1.7815154975383822e-05,-0.0019954408474710285,-2.5,0.0,3.0590739047867275,0.0248,3.061,,,,
1787534200.893001,-2.474517232437856,-2.2832025705385887e-05,-0.001865854324051139,-2.5,0.0,3.1374755780627077,0.0255,3.139,,,,
1787534200.9731464,-2.4739745615287854,-2.725383597423159e-05,-0.001746947326254268,-2.5,0.0,6.485491058250648,0.0260,6.487,,,,
1787534201.1176476,-2.4731661031450227,-3.6133297412823564e-05,-0.0015078533253897865,-2.5,0.0,9.405402958911296,0.0268,9.407,,,,
1787534201.1826735,-2.472899123570085,-3.9569837297988295e-05,-0.001412736442950205,-2.5,0.0,9.436380477180183,0.0271,9.438,,,,
1787534201.3393302,-2.472637741997498,-4.415583126729705e-05,-0.001287948062795863,-2.5,0.0,10.8342949000457,0.0274,10.836,,,,
1787534201.4000223,-2.472643358500133,-4.591714505418172e-05,-0.00124525209782077,-2.5,0.0,10.751379689288488,0.0274,10.753,,,,
1787534201.5095136,-2.4729236427324524,-4.538027400288787e-05,-0.001269374478356633,-2.5,0.0,10.791828258149788,0.0271,10.793,,,,
1787534201.5856688,-2.4731979741800547,-4.354956941675211e-05,-0.0013268611667061282,-2.5,0.0,10.783372450149214,0.0268,10.785,,,,
1787534201.722497,-2.4740180612013374,-4.0598907176139134e-05,-0.0014372652781706903,-2.5,0.0,11.505520531108223,0.0260,11.507,,,,
1787534201.7796042,-2.4745644676680696,-3.892098717732204e-05,-0.0014981366190385849,-2.5,0.0,11.559310009142505,0.0254,11.561,,,,
1787534201.9176633,-2.4759315386359404,-3.372060504059107e-05,-0.001667790860567323,-2.5,0.0,12.058575156013767,0.0241,12.060,,,,
1787534201.9837294,-2.4767549526298946,-3.179839212828097e-05,-0.0017393371728649173,-2.5,0.0,11.208030671108016,0.0232,11.210,,,,
1787534202.0930684,-2.478291129404578,-3.079301402465881e-05,-0.0017975947529335345,-2.5,0.0,11.21094506726686,0.0217,11.213,,,,
1787534202.2139745,-2.479215081095457,-3.413521359046e-05,-0.00203379919741703,-2.5,0.0,10.96872268528197,0.0208,10.971,,,,
1787534202.3396864,-2.4794309382431803,-3.103726155779831e-05,-0.002123625766360662,-2.5,0.0,11.142009099357473,0.0206,11.144,,,,
1787534202.4352252,-2.479036819713629,-2.4252898690486894e-05,-0.002252715495341643,-2.5,0.0,11.147678582848144,0.0210,11.150,,,,
1787534202.5018454,-2.4786083608034915,-1.9321600039653896e-05,-0.002338543142770621,-2.5,0.0,10.56875523666822,0.0214,10.571,,,,
1787534202.6377063,-2.4781067091195546,-1.5990303125176965e-05,-0.0024026157676793653,-2.5,0.0,7.634163730929819,0.0219,7.637,,,,
1787534202.6961436,-2.4779945078417076,-1.3737458708162214e-05,-0.0024482079757507987,-2.5,0.0,7.619753768164969,0.0220,7.622,,,,
1787534202.801119,-2.47792759952747,-6.749813432634292e-06,-0.0025898393022394683,-2.5,0.0,6.505643961316725,0.0221,6.508,,,,
1787534202.9210873,-2.4779398499737906,-7.24816445883843e-08,-0.002724795144594715,-2.5,0.0,1.9262801033140138,0.0221,1.929,,,,
1787534202.9777296,-2.4779532553992683,2.9439635665366346e-06,-0.002785484588441413,-2.5,0.0,-1.688818286719656,0.0220,1.686,,,,
1787534203.097704,-2.4779792754573644,8.571665352098771e-06,-0.002898197427690966,-2.5,0.0,-1.7134555547004082,0.0220,1.711,,,,
1787534203.2237208,-2.4779994660538547,1.445690747917347e-05,-0.0030150655689209645,-2.5,0.0,-1.7610596398777885,0.0220,1.758,,,,
1787534203.2986393,-2.4779854837588644,0.00031456857526135904,-0.018363147311670876,-2.5,0.0,-6.844614091897326,0.0220,6.826,,,,
1787534203.4147308,-2.4778369342590825,0.0009202368713526676,-0.05469353791086319,-2.5,0.0,-6.866629015205122,0.0222,6.812,,,,
1787534203.4829128,-2.4776829841105714,0.0010003663335673273,-0.08310625066308525,-2.5,0.0,-8.633971599765923,0.0223,8.551,,,,
1787534203.6155753,-2.477094251424088,0.00016620602701760063,-0.018298584114609565,-2.5,0.0,-10.284178104815133,0.0229,10.266,,,,
1787534203.6821067,-2.476799244478092,-0.0005310493996254075,0.09505562136045373,-2.5,0.0,-10.291819012894821,0.0232,10.387,,,,
1787534203.8072758,-2.475960577563293,-0.0011964838119935396,0.3274690046451495,-2.5,0.0,-11.276589554335652,0.0241,11.604,,,,
1787534203.9326084,-2.474601746902202,-0.0005754204687000444,0.29160978536428467,-2.5,0.0,-10.367108780668655,0.0254,10.659,,,,
1787534203.987416,-2.4739531981879073,-3.087465806576101e-05,0.1572041322197316,-2.5,0.0,-9.114075242598563,0.0260,9.271,,,,
