t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err
1787376343.1336613,-2.4780322991547696,7.778421232383398e-07,-1.650522740967287e-05,,,,,
1787376343.2421105,-2.4780322991286514,7.767252765856906e-07,-1.6483681982208402e-05,,,,,
1787376343.354779,-2.4780322926714224,4.2703364026069e-07,-9.611121942402895e-06,,,,,
1787376343.4100337,-2.478032281329735,-1.6393901468495626e-07,1.9981606860907885e-06,,,,,
1787376343.5219839,-2.478032234192986,-1.9767118522861246e-06,3.752539706120231e-05,,,,,
1787376343.6363597,-2.478032118335174,-4.134841795628793e-06,7.963272210667257e-05,,,,,
1787376343.7515337,-2.4780319322836566,-5.1116013281186186e-06,9.824225092216861e-05,,,,,
1787376343.863257,-2.4780317243492345,-4.808018985304267e-06,9.152444297202969e-05,,,,,
1787376343.9204535,-2.4780316665561384,-3.983490900058388e-06,7.492713176557558e-05,,,,,
1787376344.0567472,-2.4780318018774192,-2.2189789410963288e-07,5.019851221839798e-08,,,,,
1787376344.1331947,-2.4780321174814643,2.4292312833710356e-06,-5.2333466306118964e-05,,,,,
1787376344.2311475,-2.4780325622813506,5.020081269074399e-06,-0.00010322479672236877,,,,,
1787376344.3447046,-2.478033062524668,7.523052819588603e-06,-0.00015208257094984033,,,,,
1787376344.4559443,-2.478033593959023,1.0452611891620124e-05,-0.0002090181897010471,,,,,
1787376344.5641742,-2.478033694065452,1.1712081075667378e-05,-0.0002327825304380793,,,,,
1787376344.6239321,-2.478033674815144,1.244360298103712e-05,-0.0002466043748658145,,,,,
1787376344.7652092,-2.478032982479426,1.2607884178535952e-05,-0.0002478789133043607,,,,,
1787376344.8167548,-2.4780326239590145,1.2331272391065352e-05,-0.00024175230417349184,,,,,
1787376344.9295025,-2.478031797409526,1.1616755450841008e-05,-0.00022633622040658886,,,,,
1787376345.0620809,-2.478030401716229,9.636027265536278e-06,-0.00018534758829174498,,,,,
1787376345.1602335,-2.4780295135728028,8.271068558741301e-06,-0.00015725473749283195,,,,,
1787376345.2149396,-2.4780290303752763,7.940863932950334e-06,-0.0001501756104073057,,,,,
1787376345.3342474,-2.4780282130558424,6.463806085717553e-06,-0.00011998702964653879,,,,,
1787376345.4484074,-2.478027357110164,5.31872574391671e-06,-9.636589788541083e-05,,,,,
1787376345.5629704,-2.4780271272847747,2.6627925412214077e-06,-4.310270212202619e-05,,,,,
1787376345.623291,-2.4780273315110937,9.520790388704197e-07,-9.031794631747493e-06,,,,,
1787376345.7385113,-2.478028483646127,-2.9329940150507226e-06,6.79332971312483e-05,,,,,
1787376345.8550408,-2.4780305370285767,-6.927494639362764e-06,0.00014655156433739143,,,,,
1787376345.953507,-2.4780330884686217,-1.0392518616420538e-05,0.00021423067460239086,,,,,
1787376346.036139,-2.4780353277292586,-1.2528581819155611e-05,0.0002553536982432611,,,,,
