t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err
1787373945.9467633,-2.4780258530616446,7.405716287385892e-07,-1.2406923547853202e-05,-3.27426234984367,0.9433435615446599,-117.74428684623979,1.2345,117.744
1787373946.012856,-2.4780258532144566,7.407286439073597e-07,-1.2429744358163639e-05,-3.274493383022272,0.9432907217014731,-117.7383641844308,1.2346,117.738
1787373946.1505823,-2.4780258532106276,7.403984150188003e-07,-1.2413550836547947e-05,-3.2746867091674776,0.9432553139959697,-117.73509499481834,1.2347,117.735
1787373946.220594,-2.478025853055885,7.395846391718532e-07,-1.2364163720894374e-05,-3.275106862307256,0.9434693743586569,-117.7350468880411,1.2351,117.735
1787373946.290351,-2.478025853196204,7.404076763232515e-07,-1.2412727304333657e-05,-3.275180873428059,0.9436105961114366,-117.73261339904828,1.2353,117.733
1787373946.4359694,-2.478025853159249,7.396818773963243e-07,-1.237625686859367e-05,-3.2751092526612875,0.9434672684881579,-117.72571689898083,1.2351,117.726
1787373946.5046046,-2.478025852962255,7.403622192704161e-07,-1.2385983085035858e-05,-3.2753013020073447,0.943351585049926,-117.72303903666787,1.2351,117.723
1787373946.6376994,-2.4780258530509,7.402482409790928e-07,-1.237775648371133e-05,-3.2753304542957076,0.9434367011106665,-117.72200369542247,1.2352,117.722
1787373946.7059345,-2.4780258530908505,7.396636636108369e-07,-1.2370341912672901e-05,-3.2753725869548447,0.9436594320342755,-117.7287106723056,1.2354,117.729
1787373946.8502026,-2.478025853090672,7.405136603353454e-07,-1.2390298673896863e-05,-3.275360184057934,0.9434786349563168,-117.7210953154981,1.2353,117.721
1787373946.9304237,-2.4780258530907533,7.397470365467249e-07,-1.236726374181639e-05,-3.2751182526421356,0.9433997623232223,-117.72595769568954,1.2351,117.726
1787373947.0010135,-2.478025853108619,7.404397530875106e-07,-1.23911119876124e-05,-3.275383631034386,0.9432821011169118,-117.72217666518348,1.2351,117.722
1787373947.1360207,-2.4780258530277677,7.403385738521918e-07,-1.2366473648565962e-05,-3.273982319750885,0.9423984025906471,-117.75612682241847,1.2336,117.756
1787373947.208787,-2.478025853084424,7.396932319864982e-07,-1.2359856768100935e-05,-3.2725195515743684,0.9415893239729819,-117.79889336760581,1.2320,117.799
1787373947.3467073,-2.478025853066978,7.405255783426708e-07,-1.2379694749704114e-05,-3.2721491671856553,0.9414009152356654,-117.80729301864271,1.2316,117.807
1787373947.4125915,-2.4780258531343566,7.396888383011315e-07,-1.2335895645230745e-05,-3.272906707030186,0.9419096381801992,-117.78015999296456,1.2325,117.780
1787373947.5517545,-2.478025853250299,7.395532908173583e-07,-1.2320828202577891e-05,-3.2738296289605273,0.9427596625039534,-117.7650212926119,1.2337,117.765
1787373947.6278634,-2.4780258530669914,7.403866531704149e-07,-1.2372692988812458e-05,-3.274155312394664,0.9429004024672394,-117.74836762650737,1.2341,117.748
1787373947.696752,-2.478025853194454,7.404943589720762e-07,-1.2347634365942235e-05,-3.272834353667881,0.9419868987595938,-117.78955176925366,1.2325,117.790
1787373947.8110127,-2.4780258530424444,7.406164523489074e-07,-1.236851476042413e-05,-3.273501930947284,0.9423354006235239,-117.76547013152113,1.2332,117.765
1787373947.9064145,-2.4780258531753683,7.40682841772651e-07,-1.2351530257222861e-05,-3.2739146193380892,0.9426746472953036,-117.75459141826919,1.2337,117.755
1787373948.0416865,-2.4780258531399,7.403455024118872e-07,-1.2336252841684508e-05,-3.274856074799037,0.9429695472546199,-117.7347325661706,1.2346,117.735
