t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err,fix_x,fix_y,fix_yaw,fix_err
1787556833.3735769,-2.4629133607527516,9.03138223177927e-07,-4.669641004214326e-05,-2.525375435484788,-0.017440726174488205,0.5368191599365677,0.0649,0.537,,,,
1787556833.4432797,-2.4625569813955037,9.31893651243712e-07,-4.805897235840458e-05,-2.525375435484788,-0.017440726174488205,0.5368191599365677,0.0652,0.537,,,,
1787556833.5288706,-2.4622677082738464,9.586970149537703e-07,-4.946415015411752e-05,-2.52534833062579,-0.01740871045943521,0.541115122869813,0.0654,0.541,,,,
1787556833.6890817,-2.461888402540304,1.0096210971433106e-06,-5.1859850904922775e-05,-2.8741251529236296,-0.026036435680207592,0.6170212000821954,0.4131,0.617,,,,
1787556833.7768383,-2.4617976468218723,1.0333711153527245e-06,-5.281965829189285e-05,-2.8714554246397617,-0.026047029807503223,0.6153364690530576,0.4105,0.615,,,,
1787556833.8735173,-2.461772551468738,1.0543819954093783e-06,-5.379387042645712e-05,-2.8714313819091295,-0.026051155972198134,0.6144322661379059,0.4105,0.614,,,,
1787556833.9550855,-2.4618130717293596,1.0748011444776048e-06,-5.450090348647948e-05,-2.8714399552487047,-0.026052648048565632,0.6139218842940409,0.4105,0.614,,,,
1787556834.0493813,-2.4619192895152247,1.09244629685617e-06,-5.521741902902115e-05,-2.8714605734923646,-0.026053142731704795,0.6136992780202316,0.4104,0.614,,,,
1787556834.1405308,-2.462091414289248,1.1095535801930575e-06,-5.5662022494415723e-05,-2.871488190905551,-0.026052362243464234,0.6136996220851055,0.4102,0.614,,,,
1787556834.2918646,-2.4626348607020736,1.1380378002704295e-06,-5.629853959985309e-05,-2.8715123547931785,-0.026050082854204605,0.6137993171887762,0.4097,0.614,,,,
1787556834.363707,-2.463007241034858,1.1495815705011333e-06,-5.6488726594239553e-05,-2.871536284032149,-0.026045714431253204,0.6140117407885838,0.4094,0.614,,,,
1787556834.444559,-2.4634476471896694,1.1609211318997013e-06,-5.642102328770256e-05,-2.87152537810174,-0.026048151041673857,0.6138838627026316,0.4089,0.614,,,,
1787556834.5216882,-2.4639569321003356,1.1699351447861533e-06,-5.635533016310219e-05,-2.871527008679764,-0.02604796156369244,0.6138700663770033,0.4084,0.614,,,,
1787556834.6661046,-2.465186206690734,1.1858084324570283e-06,-5.573179457760634e-05,-2.871536077119907,-0.026045947104392876,0.6139105499467867,0.4072,0.614,,,,
1787556834.7401876,-2.4659085609357656,1.192733618722721e-06,-5.5189343185639394e-05,-2.8715556001819467,-0.02604108185385532,0.6139917079954847,0.4065,0.614,,,,
