t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err,fix_x,fix_y,fix_yaw,fix_err
1787557401.527752,-2.470765901755716,1.3022781930011691e-06,-4.290754394324533e-05,-2.665226279322141,-0.002863532876480668,0.05872902291875499,0.1945,0.059,,,,
1787557401.6099045,-2.471960359909263,1.2989069571136321e-06,-4.15873468072639e-05,-2.665214687887795,-0.0028632584476881596,0.05872887162162623,0.1933,0.059,,,,
1787557401.7540982,-2.4746065746571486,1.2909350699762383e-06,-3.8650722597597824e-05,-2.665222497325754,-0.002863445580942484,0.05872896541926258,0.1906,0.059,,,,
1787557401.8281047,-2.4760631721362376,1.286280971283377e-06,-3.7030191093568543e-05,-2.665216946490984,-0.0028682468146311144,0.12256520599557795,0.1892,0.123,,,,
1787557401.904063,-2.477612220287768,1.2811403148664188e-06,-3.530812713440472e-05,-2.5789413011234648,-0.0017762948256548612,0.07082780786830215,0.1013,0.071,-2.5595600125027436,-0.0007163990679246222,0.012864627590058263,0.0820
1787557401.9993606,-2.478754356877133,1.5051419460351736e-06,-3.770947972399349e-05,-2.5586538232751055,-0.004269982612344545,0.042375666950077204,0.0800,0.042,-2.5386204951449693,-0.00519276344463862,0.054891177379978374,0.0601
1787557402.0988395,-2.4798955734994808,1.7298264204115789e-06,-3.923040312996596e-05,-2.5584122850240445,-0.004313312889883322,0.04201033557722662,0.0786,0.042,-2.484845580982645,-0.0001273620672390763,-0.031799337948704605,0.0050
1787557402.2656949,-2.4815329210541424,2.0727544292028013e-06,-4.088647743083342e-05,-2.507597493688152,-0.0010817062986711698,-0.020105617976692535,0.0261,0.020,-2.4834031750182186,-0.0026552249490648192,0.0792835958189044,0.0032
1787557402.357574,-2.4821454434936756,2.0726513567304776e-06,-3.894205922899121e-05,-2.493627164378244,-0.002146375245261569,0.07288055348593651,0.0117,0.073,-2.4834031750182186,-0.0026552249490648192,0.0792835958189044,0.0029
1787557402.4397662,-2.4826096086317255,2.0161619520666686e-06,-3.648448602693836e-05,-2.486024666771681,-0.010735084358500834,0.2067377215968526,0.0113,0.207,-2.482862327671507,-0.013124486743783493,0.23461383149279574,0.0131
1787557402.514228,-2.4829260263732973,1.9280725145281e-06,-3.397790418823132e-05,-2.4841626959324805,-0.011267468677991742,0.21390727710418864,0.0113,0.214,-2.482862327671507,-0.013124486743783493,0.23461383149279574,0.0131
1787557402.6575835,-2.4831180719982067,1.7223864917794254e-06,-2.9541812012377006e-05,-2.4830666489003717,-0.00028448095841825116,0.034739049673555844,0.0003,0.035,-2.4827999419539486,0.0030656020605125023,-0.0067821302012132725,0.0031
1787557402.7222219,-2.4829943562079415,1.6248429156237305e-06,-2.782501256753554e-05,-2.480403520824365,0.0001784073310775597,0.032315772704963074,0.0026,0.032,-2.458150293876827,-0.00281964741107131,-0.02777182920962625,0.0250
1787557402.8419163,-2.4823073253583328,1.4638317621038497e-06,-2.552131412842759e-05,-2.465469757337715,-0.002288467419623252,-0.034151874386617126,0.0170,0.034,-2.458150293876827,-0.00281964741107131,-0.02777182920962625,0.0243
1787557402.970922,-2.4810314074426154,1.3540268046579814e-06,-2.4643957630960737e-05,-2.4604889628716298,-0.002114982865209395,-0.04233488897469218,0.0207,0.042,-2.458150293876827,-0.00281964741107131,-0.02777182920962625,0.0231
1787557403.04212,-2.480170800083303,1.3161281918787826e-06,-2.4689414674511607e-05,-2.4655567936125395,0.0003253290987984654,-0.022631078853171737,0.0146,0.023,-2.469262069194217,0.00010576092264149656,0.02221462474438687,0.0109
1787557403.1204977,-2.4791603990702904,1.2873013059003853e-06,-2.5025280461131107e-05,-2.4630276350949782,0.0006517574706737092,-0.026734790684758945,0.0161,0.027,-2.469262069194217,0.00010576092264149656,0.02221462474438687,0.0099
1787557403.2422047,-2.4770516534505855,1.448107563964819e-06,-3.106912393182292e-05,-2.4925604679190565,-0.00014334146042844261,0.005590822945335609,0.0155,0.006,-2.5353216919153345,-0.00048405482901633576,0.010832520507108687,0.0583
1787557403.3009677,-2.476175152297662,1.5307321452930891e-06,-3.439973189057726e-05,-2.492647310089593,0.00013505396135794523,-0.017324843153471565,0.0165,0.017,-2.5353216919153345,-0.00048405482901633576,0.010832520507108687,0.0591
1787557403.453313,-2.4746971484815186,1.5667285218702901e-06,-3.7524628610094826e-05,-2.493312506714658,0.0005342662582641321,-0.022778531636804985,0.0186,0.023,-2.5353216919153345,-0.00048405482901633576,0.010832520507108687,0.0606
1787557403.5327985,-2.4740956509458347,1.5496963449577648e-06,-3.8839308775874436e-05,-2.493604656931861,0.001304154071511357,-0.5146286581915411,0.0196,0.515,-2.5353216919153345,-0.00048405482901633576,0.010832520507108687,0.0612
1787557403.6240356,-2.4735843033246896,1.5216860576144876e-06,-3.921378610957181e-05,-2.4923505931233287,0.0006081560599160088,-0.491115395085909,0.0188,0.491,-2.5353216919153345,-0.00048405482901633576,0.010832520507108687,0.0617
1787557403.7616472,-2.4728281891764996,1.4550630181911755e-06,-3.919122886321219e-05,-2.4923593867175726,0.0006060457271997118,-0.49472341040917706,0.0195,0.495,-2.5353216919153345,-0.00048405482901633576,0.010832520507108687,0.0625
1787557403.857313,-2.4725819225484824,1.4234386957781803e-06,-3.896717796897094e-05,-2.492355908119368,0.0006129132591828517,-0.5030350390744731,0.0198,0.503,-2.5353216919153345,-0.00048405482901633576,0.010832520507108687,0.0627
1787557403.9501572,-2.4724228028084267,1.3954089093156784e-06,-3.869461684531034e-05,-2.49236424103155,0.0006065757744836854,-0.49541823815631486,0.0200,0.495,-2.5353216919153345,-0.00048405482901633576,0.010832520507108687,0.0629
1787557404.0267177,-2.4723505068661016,1.3716260949261862e-06,-3.846051767346576e-05,-2.6240055809562044,0.0036703628578228786,-0.18066313314515836,0.1517,0.181,-2.747997584328849,0.019611495399721724,-0.5062123647884854,0.2763
1787557404.1084177,-2.4723648789769004,1.3522464330168252e-06,-3.821650763922099e-05,-2.6240565211524447,0.0036648937032765015,-0.18095666883159536,0.1517,0.181,-2.747997584328849,0.019611495399721724,-0.5062123647884854,0.2763
1787557404.2644873,-2.472653833886705,1.3254915738403813e-06,-3.770160764465725e-05,-2.6240826488636197,0.003663252703286601,-0.1811351425757663,0.1515,0.181,-2.747997584328849,0.019611495399721724,-0.5062123647884854,0.2760
1787557404.3406308,-2.4729289321013983,1.31705004840726e-06,-3.740913827542962e-05,-2.6241060171953503,0.0036628489361144006,-0.18135554653389918,0.1512,0.181,-2.747997584328849,0.019611495399721724,-0.5062123647884854,0.2758
1787557404.4110346,-2.473291728024554,1.3110747227048725e-06,-3.707725898120632e-05,-2.6241154472670942,0.003663009042468852,-0.18166734768397894,0.1509,0.182,-2.747997584328849,0.019611495399721724,-0.5062123647884854,0.2754
1787557404.49112,-2.4737428892070024,1.3069594695984616e-06,-3.668567427634587e-05,-2.624113777115706,0.003662529658969549,-0.18152358142311095,0.1504,0.181,-2.747997584328849,0.019611495399721724,-0.5062123647884854,0.2750
1787557404.6667383,-2.474913792311891,1.3021908640551197e-06,-3.567404516963553e-05,-2.624114508155749,0.0036622881656038675,-0.18156758994421993,0.1492,0.182,-2.747997584328849,0.019611495399721724,-0.5062123647884854,0.2738
1787557404.7453256,-2.475635684594502,1.300474707558423e-06,-3.502855588056813e-05,-2.6241173284001382,0.002780627289202096,-0.020749241315689653,0.1485,0.021,-2.747997584328849,0.019611495399721724,-0.5062123647884854,0.2731
1787557404.8164873,-2.4764504522295687,1.1314317369323374e-06,-3.0884006558900095e-05,-2.6241119965448862,0.0027803016545845396,-0.019949150277011024,0.1477,0.020,-2.638763954275737,0.04850975836796793,-1.0777410942374255,0.1694
1787557404.9557924,-2.4783677819021714,-1.671256005059238e-06,2.4354925685937697e-05,-2.6309617779160193,0.0432523507320773,-0.9864625503516502,0.1586,0.986,-2.638763954275737,0.04850975836796793,-1.0777410942374255,0.1676
1787557405.0267012,-2.4790655338007106,-4.028247604444566e-06,6.368538807261943e-05,-2.5734633560973275,0.008357736794967228,-0.1312381060116804,0.0948,0.131,-2.5267580410746007,-0.0005982411917301495,-0.01014241367801197,0.0477
1787557405.1036546,-2.479645579397381,-7.852439740769872e-06,0.00012620226918094854,-2.5077466667878507,0.0030493039024165787,-0.03816791899697726,0.0283,0.038,-2.471847971438833,0.00015332210761894282,0.04996434064524686,0.0078
1787557405.260726,-2.4803691487612607,-1.7347133197225637e-05,0.000270842555351407,-2.4730136462012235,0.0008091851037207816,0.032049128063999587,0.0074,0.032,-2.4559446309741406,5.416793861277078e-05,0.04220069892025211,0.0244
1787557405.3272521,-2.480509285770511,-2.1532810735814566e-05,0.000332554714625461,-2.472809316104247,0.0012048379155346076,0.005087339418147297,0.0078,0.005,-2.4559446309741406,5.416793861277078e-05,0.04220069892025211,0.0246
1787557405.4104002,-2.480501149225014,-2.4642150617293647e-05,0.00037803625394220916,-2.42680115150001,0.00722771052777337,-0.012821121611901312,0.0542,0.013,-2.407080303402103,0.008524395096684071,-0.026968061744764394,0.0739
1787557405.5643792,-2.480036583242612,-2.513786829292355e-05,0.0003862115345738027,-2.4211684463018237,0.007152155734828056,-0.0026603739895515377,0.0593,0.003,-2.407080303402103,0.008524395096684071,-0.026968061744764394,0.0735
1787557405.6313426,-2.4795785032930353,-2.2012302653958527e-05,0.00033946229963878087,-2.4238660183485945,0.017490128635116564,-0.12367097946911677,0.0584,0.124,-2.4261095774599455,0.02053192127539979,-0.1612529588808589,0.0573
1787557405.712819,-2.4789688599871926,-1.6531024538047126e-05,0.00025310579815369477,-2.4299111834438216,0.0334709924284219,-0.40069914680401375,0.0594,0.401,-2.437542107869757,0.03319415236256165,-0.2280728567770773,0.0531
