t,res_kind,mkind,ref_b_x,ref_b_y,ref_b_yaw,contra_b,raw_x,raw_y,raw_yaw,chosen_x,chosen_y,chosen_yaw,ref_a_x,ref_a_y,ref_a_yaw,contra_a,resid_to_ref,reloc_x,reloc_y,reloc_yaw,prior_x,prior_y,prior_yaw,resid_m
1787538040.521,full,commit,,,,0,1.9329,0.0104,-3.1069,-1.9329,-0.0104,0.0347,-1.9329,-0.0104,0.0347,0,,,,,0.0000,0.0000,0.0000,0.4527
1787538040.678,full,ok,-1.9329,-0.0104,0.0347,0,-1.9613,-0.0251,0.0301,-1.9613,-0.0251,0.0301,-1.9329,-0.0104,0.0347,0,0.0321,,,,-1.9329,-0.0104,0.0347,0.3153
1787538040.879,full,ok,-1.9329,-0.0104,0.0347,0,-1.9419,0.0406,0.0276,-1.9419,0.0406,0.0276,-1.9329,-0.0104,0.0347,0,0.0518,,,,-1.9733,-0.0321,0.0273,0.3313
1787538041.034,full,ok,-1.9329,-0.0104,0.0347,0,-1.9300,0.0911,0.0187,-1.9300,0.0911,0.0187,-1.9314,0.0404,0.0267,0,0.1015,,,,-1.9479,0.0352,0.0294,0.2919
1787538041.163,full,ok,-1.9314,0.0404,0.0267,0,-1.8986,0.1102,0.0110,-1.8986,0.1102,0.0110,-1.9314,0.0404,0.0267,0,0.0772,,,,-1.9397,0.0848,0.0234,0.3414
1787538041.306,full,ok,-1.9314,0.0404,0.0267,0,-1.9034,0.1415,0.0052,-1.9034,0.1415,0.0052,-1.9314,0.0404,0.0267,0,0.1050,,,,-1.9121,0.1098,0.0212,0.4127
1787538041.418,full,ok,-1.9314,0.0404,0.0267,0,-1.9070,-0.2702,0.0707,-1.9070,-0.2702,0.0707,-1.9314,0.0404,0.0267,0,0.3115,,,,-1.9083,0.1371,0.0075,0.3932
1787538041.567,full,ok,-1.9314,0.0404,0.0267,0,-1.8993,0.1343,0.0061,-1.8993,0.1343,0.0061,-1.9314,0.0404,0.0267,0,0.0993,,,,-1.9178,0.1264,0.0055,0.3777
1787538041.713,full,ok,-1.9314,0.0404,0.0267,0,-1.9220,0.1049,0.0135,-1.9220,0.1049,0.0135,-1.9314,0.0404,0.0267,0,0.0652,,,,-1.8979,0.1409,0.0065,0.3379
1787538042.128,full,ok,-1.9314,0.0404,0.0267,0,-2.0124,-0.0344,0.0416,-2.0124,-0.0344,0.0416,-1.9314,0.0404,0.0267,0,0.1102,,,,-1.9049,0.0966,0.0050,0.3330
1787538042.263,full,ok,-1.9314,0.0404,0.0267,0,-1.9423,-0.0334,0.0356,-1.9423,-0.0334,0.0356,-1.9314,0.0404,0.0267,0,0.0745,,,,-2.0043,-0.0281,0.0394,0.5376
1787538042.412,full,ok,-1.9314,0.0404,0.0267,0,-1.9363,-0.0207,0.0349,-1.9363,-0.0207,0.0349,-1.9314,0.0404,0.0267,0,0.0612,,,,-1.9825,-0.0779,0.0389,0.4863
1787538042.557,full,ok,-1.9314,0.0404,0.0267,0,-1.9194,-0.0201,0.0364,-1.9194,-0.0201,0.0364,-1.9314,0.0404,0.0267,0,0.0616,,,,-1.9528,-0.0304,0.0377,0.4220
1787538042.721,full,ok,-1.9314,0.0404,0.0267,0,-1.9398,-0.0011,0.0337,-1.9398,-0.0011,0.0337,-1.9314,0.0404,0.0267,0,0.0423,,,,-1.9284,-0.0506,0.0392,0.4772
1787538042.882,full,ok,-1.9314,0.0404,0.0267,0,-1.9381,0.0046,0.0333,-1.9381,0.0046,0.0333,-1.9314,0.0404,0.0267,0,0.0364,,,,-1.9368,-0.0082,0.0355,0.4435
1787538042.996,full,ok,-1.9314,0.0404,0.0267,0,-1.9458,0.0043,0.0331,-1.9458,0.0043,0.0331,-1.9314,0.0404,0.0267,0,0.0388,,,,-1.9376,0.0004,0.0344,0.4700
1787538043.136,full,ok,-1.9314,0.0404,0.0267,0,-1.9512,0.0159,0.0323,-1.9512,0.0159,0.0323,-1.9314,0.0404,0.0267,0,0.0315,,,,-1.9426,0.0019,0.0336,0.4597
1787538043.264,full,ok,-1.9314,0.0404,0.0267,0,-1.9524,0.0143,0.0321,-1.9524,0.0143,0.0321,-1.9314,0.0404,0.0267,0,0.0335,,,,-1.9486,0.0122,0.0332,0.4778
1787538043.422,full,ok,-1.9314,0.0404,0.0267,0,-1.9515,0.0226,0.0319,-1.9515,0.0226,0.0319,-1.9314,0.0404,0.0267,0,0.0268,,,,-1.9537,0.0072,0.0326,0.4902
1787538043.589,full,ok,-1.9314,0.0404,0.0267,0,-1.9520,0.0200,0.0318,-1.9520,0.0200,0.0318,-1.9314,0.0404,0.0267,0,0.0290,,,,-1.9521,0.0204,0.0325,0.5071
1787538043.688,full,ok,-1.9314,0.0404,0.0267,0,-1.9620,0.0237,0.0314,-1.9620,0.0237,0.0314,-1.9314,0.0404,0.0267,0,0.0349,,,,-1.9527,0.0193,0.0320,0.4860
1787538043.826,full,ok,-1.9314,0.0404,0.0267,0,-1.9546,0.0311,0.0299,-1.9546,0.0311,0.0299,-1.9314,0.0404,0.0267,0,0.0250,,,,-1.9591,0.0222,0.0317,0.4898
1787538044.005,full,ok,-1.9314,0.0404,0.0267,0,-1.9537,0.0334,0.0296,-1.9537,0.0334,0.0296,-1.9314,0.0404,0.0267,0,0.0234,,,,-1.9595,0.0266,0.0303,0.5083
1787538044.100,full,ok,-1.9314,0.0404,0.0267,0,-1.9518,0.0319,0.0300,-1.9518,0.0319,0.0300,-1.9314,0.0404,0.0267,0,0.0220,,,,-1.9554,0.0325,0.0298,0.4739
1787538044.261,full,ok,-1.9314,0.0404,0.0267,0,-1.9516,0.0341,0.0298,-1.9516,0.0341,0.0298,-1.9314,0.0404,0.0267,0,0.0212,,,,-1.9535,0.0319,0.0300,0.5139
1787538044.421,full,ok,-1.9314,0.0404,0.0267,0,-1.9482,0.0342,0.0302,-1.9482,0.0342,0.0302,-1.9314,0.0404,0.0267,0,0.0179,,,,-1.9532,0.0321,0.0298,0.4667
1787538044.516,full,ok,-1.9314,0.0404,0.0267,0,-1.9373,0.0368,0.0304,-1.9373,0.0368,0.0304,-1.9314,0.0404,0.0267,0,0.0069,,,,-1.9497,0.0339,0.0303,0.4539
1787538044.667,full,ok,-1.9314,0.0404,0.0267,0,-1.9401,0.0383,0.0298,-1.9401,0.0383,0.0298,-1.9314,0.0404,0.0267,0,0.0089,,,,-1.9421,0.0360,0.0306,0.4869
