t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err,fix_x,fix_y,fix_yaw,fix_err
1787538493.009958,-2.4618327086053244,1.3000942647496835e-06,-5.155540154556478e-05,-3.3270649925721445,-0.048780595910115736,0.8141594656218908,0.8666,0.814,,,,
1787538493.103456,-2.461809254246225,1.3028009005492584e-06,-5.186101963744055e-05,-3.3696506785801073,-0.0503448823205656,0.8338651717042695,0.9092,0.834,,,,
1787538493.199407,-2.4618514896633106,1.3055663804439302e-06,-5.208668804862085e-05,-3.401517010351582,-0.05206578948960502,0.8612444276007994,0.9411,0.861,,,,
1787538493.2841492,-2.461959500138836,1.3069996030726694e-06,-5.227181046936733e-05,-3.4371105420433468,-0.0544518918104125,0.922398447646568,0.9767,0.922,,,,
1787538493.3723423,-2.4621334984098175,1.3093806992560658e-06,-5.2229034435310226e-05,-3.4537265811818374,-0.05592376737304825,0.9601194939795337,0.9932,0.960,,,,
1787538493.5366251,-2.462680948430088,1.3121153275597887e-06,-5.20923955178318e-05,-3.5091333578605597,-0.05854078419068349,0.990082902378713,1.0481,0.990,,,,
1787538493.6216776,-2.4630554664831013,1.3134001222137558e-06,-5.17649935083219e-05,-3.4805350451591455,-0.058528072094559985,1.0360346133355987,1.0192,1.036,,,,
1787538493.727528,-2.4634981059949523,1.3144005785487467e-06,-5.143425517475617e-05,-3.4666976337648334,-0.06023357061328294,1.1371412886191528,1.0050,1.137,-3.2740242734090033,-0.05785265812423659,1.0360346133355987,0.8126
1787538493.8324828,-2.4640097242437657,1.3136840341619062e-06,-5.104104323510974e-05,-3.510309491089796,-0.06268140633437445,1.1706149076542667,1.0482,1.171,-3.2483028808304666,-0.06503025856748848,1.1706149076542667,0.7870
1787538493.9203706,-2.464591309618719,1.313721783352534e-06,-5.042933186462033e-05,-3.4432459629427425,-0.06179010886874227,1.251173237701915,0.9806,1.251,-3.1981878317158707,-0.06852456186961912,1.2511732377019147,0.7368
1787538494.00612,-2.465243982355129,1.3135197676604634e-06,-4.980763492821785e-05,-3.4006187308559923,-0.06264612451134778,1.3679405641421727,0.9375,1.368,-3.1981878317158707,-0.06852456186961912,1.2511732377019147,0.7361
1787538494.1491606,-2.4667677374151564,1.3105525155845531e-06,-4.822617438009236e-05,-3.441064874018988,-0.06564882195961275,1.4217975397638634,0.9765,1.422,-3.0189499378063496,-0.08245927646732741,1.4217975397638636,0.5583
1787538494.2318997,-2.467641729093171,1.3092548381394252e-06,-4.731573999072999e-05,-3.3001121247778205,-0.06136885679997442,1.569992522440429,0.8347,1.570,-2.9822956797449183,-0.0916632486869088,1.569992522440429,0.5228
1787538494.3167286,-2.4685926293258187,1.3062843356261879e-06,-4.632004020293155e-05,-3.210178691450167,-0.05958046299991159,1.7006226962046036,0.7440,1.701,-2.8982778907097044,-0.09087907130307775,1.7006226962046036,0.4392
1787538494.4011505,-2.4696222329873616,1.3041410005558082e-06,-4.51585136394216e-05,-3.1217613574668257,-0.05857407899282604,1.8362808983857708,0.6548,1.836,-2.824971869756724,-0.09528211094745753,1.8362808983857708,0.3679
1787538494.481604,-2.4707324727070743,1.3017648104060532e-06,-4.395704517394895e-05,-2.9564373665724815,-0.05839651059820842,2.1024667530372123,0.4892,2.103,-2.7678116133915243,-0.09104756305814898,1.8362808983857708,0.3107
1787538494.6354885,-2.4732032834633815,1.2923545363323536e-06,-4.118029591982073e-05,-2.872763453695003,-0.05762814041114974,2.232430964276654,0.4037,2.232,-2.706223522923593,-0.10387553507064776,2.1024667530372128,0.2551
1787538494.7114239,-2.47456841265714,1.289653978962693e-06,-3.9687855215258164e-05,-2.768014281961173,-0.055951134835426436,2.3869557995157997,0.2987,2.387,-2.5967341083580644,-0.10666992654706649,2.232430964276654,0.1622
1787538494.7966957,-2.4760232946899485,1.284615654454876e-06,-3.806722303434011e-05,-2.75464726169557,-0.05464064469181286,-0.5660940209018324,0.2839,0.566,-2.549903909849141,0.024126346500783102,-0.5660940209018321,0.0777
1787538494.8888414,-2.4775705543264275,1.2781754215090892e-06,-3.630915171347936e-05,-2.5665030327981935,-0.008158292411963239,0.08931189808136095,0.0893,0.089,-2.4404867240465005,-0.007982246829344269,0.09116850709324077,0.0379
