t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err
1787367476.3813832,-2.478006579501487,4.327917071648399e-06,-8.651662784520505e-05,-2.573795191792057,0.03568650161016312,-0.984621383120882,0.1022,0.985
1787367476.5148425,-2.4780065794330506,4.328369783861494e-06,-8.671774114040467e-05,-2.5737343326178816,0.03584998517869976,-0.9866808008328215,0.1022,0.987
1787367476.5826213,-2.478006579639756,4.3272106818860955e-06,-8.6212079258395e-05,-2.573780355042892,0.03563807789993295,-0.9838500217414038,0.1022,0.984
1787367476.6581457,-2.4780065795131727,4.327855390811664e-06,-8.633051993446162e-05,-2.573770576132864,0.03561348013249822,-0.9834483781566646,0.1022,0.983
1787367476.8067343,-2.478006579483283,4.327903288496181e-06,-8.652313032445679e-05,-2.573759198633053,0.035582604777823094,-0.9829480002418169,0.1021,0.983
1787367476.8738642,-2.478006579542316,4.327046771556803e-06,-8.65632497352592e-05,-2.573755803333311,0.035572860328535655,-0.982790923477313,0.1021,0.983
1787367477.0087194,-2.4780065796156387,4.327164560607641e-06,-8.619757337901368e-05,-2.5737516713516446,0.03556106222684995,-0.9826008149410236,0.1021,0.983
1787367477.0780323,-2.4780065795402137,4.328334992152402e-06,-8.634886489855125e-05,-2.5737503241261965,0.035555789185562736,-0.9825179963161262,0.1021,0.982
1787367477.2158408,-2.4780065795171344,4.3279258565097735e-06,-8.65267729401997e-05,-2.5737484364347383,0.03554786909245139,-0.9823942075457631,0.1021,0.982
1787367477.291929,-2.4780065795619906,4.327560869841877e-06,-8.658153915109193e-05,-2.5737479655096793,0.0355458041976688,-0.9823620663238689,0.1021,0.982
1787367477.4319334,-2.4780065795196826,4.3271589094121465e-06,-8.67564579856311e-05,-2.573746415039726,0.03553861981004633,-0.9822502650228294,0.1021,0.982
1787367477.499615,-2.478006579511364,4.3283958632850264e-06,-8.63515230495976e-05,-2.5737459093061,0.0355363092429775,-0.9822142496285734,0.1021,0.982
1787367477.6321478,-2.4780065795807253,4.3283256357918535e-06,-8.65161111956423e-05,-2.57374552213748,0.03553428134029012,-0.9821828670830636,0.1021,0.982
1787367477.7017379,-2.4780065795325017,4.327625117932557e-06,-8.658315962657402e-05,-2.573744801148744,0.0355302629026953,-0.9821208288738734,0.1021,0.982
1787367477.7737737,-2.4780065794944193,4.328368968087857e-06,-8.670314451118977e-05,-2.5737444741802635,0.03552877291525498,-0.9820975202873091,0.1021,0.982
1787367477.9205613,-2.4780065795110353,4.328403424636853e-06,-8.633026410189401e-05,-2.5737442799387487,0.0355273336814911,-0.982075482246923,0.1021,0.982
1787367477.991465,-2.478006579569897,4.327750735744256e-06,-8.6401218087799e-05,-2.57374376034098,0.03552447261763535,-0.9820311315055091,0.1021,0.982
1787367478.0664868,-2.478006579539509,4.328418431406985e-06,-8.65169653498728e-05,-2.573743531549683,0.03552326742312432,-0.9820123529689325,0.1021,0.982
1787367478.2235062,-2.478006579475743,4.328450010081231e-06,-8.67049794886561e-05,-2.5737431328167713,0.035521481402781045,-0.9819842271389032,0.1021,0.982
1787367478.3047993,-2.478006579501089,4.327710903034588e-06,-8.676762515648558e-05,-2.5737429501708347,0.0355206303575945,-0.9819708198084707,0.1021,0.982
1787367478.3779514,-2.4780065795303594,4.32842673543543e-06,-8.632805346161148e-05,-2.5737427944015603,0.03552021709238063,-0.9819639721382599,0.1021,0.982
1787367478.5121138,-2.4780065794985604,4.328456960489606e-06,-8.650032669638208e-05,-2.5737424952262944,0.03551897685293077,-0.9819442001777939,0.1021,0.982
1787367478.577828,-2.4780065795455113,4.327733713207799e-06,-8.65816811800553e-05,-2.5737460677372797,0.03550540759313894,-0.9823892930186722,0.1021,0.982
1787367478.7187557,-2.478006579530943,4.3274698350492715e-06,-8.676233794896933e-05,-2.5737421573324806,0.0355176527706544,-0.9819229454258909,0.1021,0.982
1787367478.7949572,-2.4780065795087047,4.32738073023609e-06,-8.627536664848699e-05,-2.573742120665208,0.035516963088627757,-0.9819125166807445,0.1021,0.982
1787367478.9305048,-2.478006579514061,4.327397613844967e-06,-8.646635774606099e-05,-2.5737420659269903,0.035516657896055466,-0.9819075698706676,0.1021,0.982
1787367478.986291,-2.4780065795509634,4.3273817325436745e-06,-8.657506280891225e-05,-2.5737419703200897,0.03551648712430162,-0.9819045180146377,0.1021,0.982
1787367479.1240027,-2.47800657957182,4.327325166279442e-06,-8.675701792194297e-05,-2.5737418486164443,0.03551651644198697,-0.9819041642471383,0.1021,0.982
1787367479.1901572,-2.4780065795282087,4.327785708757077e-06,-8.628977132214346e-05,-2.573741849352307,0.03551601159954181,-0.9818966665119562,0.1021,0.982
1787367479.3242157,-2.478006579551773,4.3273300717859445e-06,-8.646401069647107e-05,-2.573741700765238,0.03551568967383138,-0.9818910586197719,0.1021,0.982
1787367479.3939505,-2.4780065795879973,4.3277717614375135e-06,-8.656946228897937e-05,-2.573741637896564,0.03551552162117847,-0.9818882004853736,0.1021,0.982
1787367479.466262,-2.4780065794617245,4.327804124020667e-06,-8.666417579914519e-05,-2.5737415922966744,0.035515462581114036,-0.9818870204885949,0.1021,0.982
1787367479.6037626,-2.4780065795246977,4.327742933338399e-06,-8.628521822364276e-05,-2.573741498123597,0.03551556301687936,-0.981887846526532,0.1021,0.982
1787367479.6712046,-2.478006579633329,4.328792119957114e-06,-8.641748770112335e-05,-2.5737415756520803,0.03551568538314972,-0.9818898955132396,0.1021,0.982
1787367479.8108761,-2.478006579594328,4.328841922847252e-06,-8.659874018889448e-05,-2.573741470259697,0.03551563966702562,-0.9818885566815954,0.1021,0.982
1787367479.8779447,-2.478006579446468,4.3282581768609154e-06,-8.66737572594892e-05,-2.57374150773041,0.03551527710260326,-0.9818833266069164,0.1021,0.982
1787367480.0203967,-2.4780065794995294,4.328291702677722e-06,-8.629783388156379e-05,-2.5737413744513034,0.03551543526068167,-0.9818848575326643,0.1021,0.982
1787367480.1003392,-2.4780065796539574,4.329051009744082e-06,-8.64207861814562e-05,-2.5737413571306305,0.03551492682800476,-0.9818772340280453,0.1021,0.982
1787367480.1809068,-2.4780065794899744,4.328846744777921e-06,-8.650475284520942e-05,-2.5737412815592493,0.03551492917363344,-0.9818768381282721,0.1021,0.982
1787367480.3199239,-2.4780065794970643,4.3283730235198995e-06,-8.667367169460985e-05,-2.5737413261302735,0.035515487580507585,-0.9818850503510693,0.1021,0.982
