t_s,odom_x,odom_y,odom_yaw_rad,gt_x,gt_y,gt_yaw_rad,exp_label,speed_cmd
0.0000,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
0.0499,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
0.0999,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
0.1500,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
0.1999,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
0.2500,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
0.3000,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
0.3500,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
0.4000,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
0.4499,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
0.5000,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
0.5499,-0.000000,-0.000000,-0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
0.6000,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
0.6499,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
0.6999,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
0.7499,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
0.7999,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
0.8500,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
0.9000,0.000000,-0.000000,-0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
0.9500,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
1.0000,-0.000000,-0.000000,-0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
1.0500,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
1.1000,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
1.1500,-0.000000,0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
1.2000,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
1.2500,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
1.3000,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
1.3499,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
1.4000,-0.000000,-0.000000,-0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
1.4500,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
1.5000,-0.000000,-0.000000,-0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
1.5500,-0.000000,0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
1.6000,-0.000000,-0.000000,-0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
1.6500,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
1.7000,0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
1.7500,-0.000000,-0.000000,-0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
1.7999,0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
1.8500,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
1.9001,-0.000000,-0.000000,-0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
1.9501,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
2.0000,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
2.0500,0.000000,-0.000000,-0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
2.1001,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
2.1500,-0.000000,-0.000000,-0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
2.2000,-0.000000,0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
2.2501,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
2.3000,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
2.3500,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
2.4000,-0.000000,0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
2.4499,0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
2.5000,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
2.5499,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
2.6000,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
2.6500,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
2.6999,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
2.7499,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
2.7999,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
2.8499,-0.000000,-0.000000,0.000000,-0.386481,-0.007020,0.000005,exp1_straight,1.000
