class,d,sigma_range,sigma_cross,n
L,0,0.0376,0.0080,24
L,1,0.0837,0.0144,61
L,2,0.1662,0.0229,101
L,3,0.2889,0.0315,160
L,4,0.4293,0.0391,236
L,5,0.6269,0.0483,335
L,6,0.8601,0.0563,368
T,0,0.0451,0.0092,7
T,1,0.0775,0.0138,61
T,2,0.1669,0.0227,62
T,3,0.2871,0.0313,111
T,4,0.4315,0.0396,182
T,5,0.6219,0.0478,243
T,6,0.8456,0.0560,227
X,0,0.0408,0.0086,19
X,1,0.0871,0.0149,80
X,2,0.1664,0.0226,129
X,3,0.2815,0.0306,120
X,4,0.4168,0.0381,98
X,5,0.6463,0.0482,73
X,6,0.8866,0.0567,74
goalpost,0,0.0431,0.0089,6
goalpost,1,0.0790,0.0139,39
goalpost,2,0.1692,0.0228,42
goalpost,3,0.3011,0.0322,77
goalpost,4,0.4218,0.0389,75
goalpost,5,0.6332,0.0478,83
goalpost,6,0.8529,0.0567,118
goalpost,7,1.1550,0.0652,154
goalpost,8,1.4655,0.0733,127
goalpost,9,1.6899,0.0784,3
center_circle,1,0.0989,0.0161,17
center_circle,2,0.1703,0.0228,59
center_circle,3,0.2894,0.0310,75
center_circle,4,0.4067,0.0375,39
