axis,value,n,solved_pct,correct_pct,either_pct,med_err
recall,1.0,1167,99.3,50.4,99.1,0.170
recall,0.8,1146,99.2,50.9,97.8,0.129
recall,0.6,1087,99.1,49.1,95.3,0.783
recall,0.5,1048,99.1,45.8,93.3,1.956
recall,0.4,923,99.0,44.1,90.4,2.182
recall,0.3,773,99.1,42.9,85.8,2.353
fp/frame,0,1167,99.3,50.4,99.1,0.170
fp/frame,1,1190,98.6,49.4,96.6,0.425
fp/frame,2,1200,98.4,48.4,95.8,1.096
fp/frame,3,1200,99.7,48.2,94.1,1.340
fp/frame,5,1200,99.2,30.1,60.3,3.297
confuse,0.0,1167,99.3,50.4,99.1,0.170
confuse,0.1,1167,98.5,49.8,97.5,0.230
confuse,0.2,1167,98.8,48.4,96.1,1.177
confuse,0.3,1167,97.6,46.3,92.5,1.942
confuse,0.5,1167,96.7,39.2,79.5,2.765
