t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err,fix_x,fix_y,fix_yaw,fix_err
1787531461.552293,-2.4621322695654135,-1.284304996205073e-06,0.00015548584284319847,-3.0025941253126276,0.06693596872854601,-0.7907547449006448,0.5446,0.791,,,,
1787531461.627992,-2.461979652658354,-1.0333435515743434e-06,0.0001458943432970119,-3.0027997294325957,0.06693956055046699,-0.7909305923001845,0.5449,0.791,,,,
1787531461.7693036,-2.4618722596248186,-6.152004270837906e-07,0.00012961905718401277,-3.0568485930111517,0.06724290058958164,-0.7933099228886586,0.5988,0.793,,,,
1787531461.865748,-2.4619172870525543,-4.390032413639105e-07,0.00012260921699452562,-3.103696509360564,0.06682081112322188,-0.795004512503683,0.6452,0.795,,,,
1787531461.9663382,-2.462028211174609,-2.8014454788569576e-07,0.00011622825790853252,-3.1401772402786254,0.06443245319926663,-0.7958059062826741,0.6812,0.796,,,,
1787531462.050077,-2.4622052514408184,-1.3601353813686595e-07,0.00011040591869171034,-3.1711725964193165,0.06228804389507903,-0.7963301512469202,0.7117,0.796,,,,
1787531462.1221013,-2.462448755404007,-4.54975253156545e-09,0.00010508646188042933,-3.1968860854849614,0.06045647240075987,-0.79666981941158,0.7369,0.797,,,,
1787531462.1950355,-2.46275919877681,1.1588402431330106e-07,0.00010022707565662178,-3.2161514405980376,0.060725693586219584,-0.7970877992786679,0.7558,0.797,,,,
1787531462.36374,-2.463583452040921,3.284554113620918e-07,9.176438222614998e-05,-3.2290637442330468,0.0610425973127605,-0.7973519767474365,0.7679,0.797,-3.2405600042680875,0.05627963034289439,-0.7973519767474363,0.7790
1787531462.4409208,-2.464098860631313,4.223875866962213e-07,8.811587405818314e-05,-3.225907903971314,0.061139591515255054,-0.7973279011485086,0.7643,0.797,-3.198898856157934,0.0686453915995386,-0.7973519767474363,0.7380
1787531462.5248914,-2.4646844080393056,5.0779122245912e-07,8.479817679815886e-05,-3.2137477905551006,0.061161844445124375,-0.7972021739720471,0.7516,0.797,-3.1502529906842898,0.06584590288796523,-0.7973279011485086,0.6887
1787531462.5992668,-2.4653412222038034,5.876547911831881e-07,8.194129904131891e-05,-3.198613983684882,0.06101391784538036,-0.797046687717319,0.7358,0.797,-3.118590831722608,0.06314987862163571,-0.7972021739720471,0.6563
1787531462.7496123,-2.4668738294020205,7.290355773010735e-07,7.707434782559674e-05,-3.1726829412609314,0.06040316993220321,-0.7967973649873082,0.7084,0.797,-3.0496155797621647,0.05574236824107096,-0.7970466877173192,0.5854
1787531462.83328,-2.467752548218438,7.89816644828213e-07,7.510927331032553e-05,-3.1261962662807155,0.05934240051939678,-0.796455045523105,0.6611,0.797,-2.9409037572909855,0.0512574113869383,-0.7967973649873082,0.4759
1787531462.9173176,-2.4687083872493987,8.46502874039378e-07,7.352840730314464e-05,-3.074985369529799,0.057826033580023146,-0.7961151374504524,0.6090,0.796,-2.8792529163725877,0.034284115284398606,-0.7964550455231049,0.4120
1787531462.9944162,-2.469743149974078,8.983388483194024e-07,7.218455576315022e-05,-3.021180150684927,0.056370437123150006,-0.7958157744280359,0.5543,0.796,-2.8134653513061982,0.03887594408767318,-0.7961151374504525,0.3459
1787531463.0825775,-2.470858777822201,9.453292247885972e-07,7.113238331025231e-05,-2.904801877992258,0.05336223250720284,-0.795316324663469,0.4372,0.795,-2.678373463954379,0.042401561127226886,-0.795815774428036,0.2118
1787531463.2541099,-2.4733410871330883,1.0235330142648394e-06,6.990291261106663e-05,-2.8487866609966246,0.051942121138745044,-0.7951380737549892,0.3790,0.795,-2.6436832983158167,0.03767427921030541,-0.795316324663469,0.1745
1787531463.3322172,-2.4747123448572963,1.0579502334646408e-06,6.967405958520877e-05,-2.790570246221127,0.05050321680839108,-0.7949860664333622,0.3199,0.795,-2.5822022246887477,0.03694844594021176,-0.7951380737549891,0.1137
1787531463.405704,-2.476173620132087,1.088683371211778e-06,6.966957725282124e-05,-2.7378517684852,0.04916562636678995,-1.422021352086528,0.2663,1.422,-2.555121674659328,0.03874297845526494,-0.7949860664333624,0.0879
1787531463.4947953,-2.477727547321213,1.1144672210268989e-06,6.994249473956087e-05,-2.696823815756788,0.05335922983366454,-0.6776150224710187,0.2255,0.678,-2.543912771904969,0.06424725281348571,-1.422021352086528,0.0922
1787531463.6559415,-2.480020177105087,1.5413892008701586e-06,5.1623937164066094e-05,-2.567358450353725,-0.0011304539686418907,0.020308382962874787,0.0873,0.020,-2.4067250166601,-0.0032457281016997977,0.04629502086049757,0.0734
1787531463.7273118,-2.480904022064324,1.7710809602250628e-06,4.918133299735015e-05,-2.567295488371053,-0.00127444611222967,0.04776175797640645,0.0864,0.048,-2.4067250166601,-0.0032457281016997977,0.04629502086049757,0.0743
