t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err
1787313062.7395525,-2.477882207371344,5.799708257122835e-07,0.0005102474719408964,-4.550255567261787,-0.05899115526603478,-88.92130922140153,2.0732,88.922
1787313062.802722,-2.477882207232722,5.800183264342265e-07,0.0005102296279820074,-4.5511720837935385,-0.05901374533473827,-88.91235237738023,2.0741,88.913
1787313062.926325,-2.4778822072441082,5.800877334250149e-07,0.0005107770440568099,-4.55065403813784,-0.05900129977501547,-88.91316221028376,2.0736,88.914
1787313062.999844,-2.4778822073584266,5.79986128062816e-07,0.0005102493790727155,-4.550256646314355,-0.058991686356756896,-88.9212925959597,2.0732,88.922
1787313063.1328354,-2.4778822074463323,5.799707731185305e-07,0.0005102545138790838,-4.551535732083792,-0.05804710236070469,-88.90504228776933,2.0745,88.906
1787313063.194293,-2.477882207221042,5.800946562306054e-07,0.0005107795840543555,-4.550886990618117,-0.05832569814920406,-88.90837199633869,2.0738,88.909
1787313063.3336434,-2.477882207212025,5.800516765813062e-07,0.0005102302713240334,-4.552161815383658,-0.05751404983438336,-88.89203893869025,2.0751,88.893
1787313063.399433,-2.47788220742987,5.799791510439998e-07,0.0005102533428567409,-4.552999958813915,-0.057999295725838944,-88.87432968654417,2.0759,88.875
1787313063.5365257,-2.4778822074396167,5.800426818913036e-07,0.0005108010060456321,-4.551482922991172,-0.058486958774259364,-88.89544388440208,2.0744,88.896
1787313063.6006947,-2.4778822071962003,5.800506467980326e-07,0.0005102328636290024,-4.550972368224377,-0.058633980244841226,-88.90621377984661,2.0739,88.907
1787313063.7308578,-2.477882207283281,5.800328313810578e-07,0.0005102378933186954,-4.5519681393690545,-0.05877556468930559,-88.89552668429168,2.0749,88.896
1787313063.843193,-2.4778822072766165,5.801195858644293e-07,0.0005107815883769362,-4.5513372602151065,-0.0588455944064704,-88.89877681653688,2.0743,88.899
1787313063.908661,-2.4778822074042077,5.800003779033271e-07,0.0005102546712459676,-4.550781474670936,-0.0589186491826479,-88.91016204583075,2.0737,88.911
1787313063.9792933,-2.4778822072645292,5.800380554445898e-07,0.0005102368679882654,-4.552003003423414,-0.05796919343270591,-88.89516844893012,2.0749,88.896
1787313064.1123796,-2.4778822072737556,5.801006612498683e-07,0.0005107842954054564,-4.550770976214939,-0.05849661288858292,-88.91055544138719,2.0737,88.911
1787313064.1821609,-2.477882207387142,5.799970314917732e-07,0.0005102568962912229,-4.550714035584138,-0.058484217453086004,-88.91096674844698,2.0737,88.911
1787313064.3202178,-2.4778822074737628,5.799802842338146e-07,0.0005102617659799479,-4.552027717122996,-0.05764934337968043,-88.89484671629761,2.0749,88.895
1787313064.3923743,-2.477882207247655,5.801014927639251e-07,0.0005107868059160871,-4.551231237845899,-0.058106428009971664,-88.90114421067122,2.0742,88.902
1787313064.5284927,-2.4778822072140354,5.800391700639188e-07,0.0005102414213891826,-4.551857264295097,-0.05771893025334948,-88.89826221800544,2.0748,88.899
1787313064.5970652,-2.477882207444152,5.799810828186998e-07,0.0005102641623933785,-4.551205409230789,-0.05808390425072019,-88.90185183315708,2.0741,88.902
1787313064.740717,-2.477882207458161,5.800473771528985e-07,0.0005108116252169472,-4.5503610946455275,-0.05854520427465997,-88.91923213613508,2.0733,88.920
1787313064.8102326,-2.4778822072153117,5.800547113618223e-07,0.0005102436595717127,-4.550023634893386,-0.058702382276801114,-88.92633833356776,2.0730,88.927
1787313064.8797445,-2.4778822074282907,5.799837569850895e-07,0.0005102666688979065,-4.551169652582346,-0.058832691580228226,-88.9123612007573,2.0741,88.913
1787313065.0169528,-2.4778822074344387,5.800476795310568e-07,0.0005108143442157976,-4.550328300982929,-0.05895089875998117,-88.91978745039165,2.0733,88.920
1787313065.0877979,-2.4778822071897504,5.800560222354054e-07,0.0005102459712175214,-4.550035359180331,-0.0589869213186186,-88.92598355429294,2.0730,88.926
1787313065.2202888,-2.477882207275092,5.800378578949309e-07,0.0005102509546120567,-4.551204295735941,-0.05905093161066716,-88.9117126589181,2.0742,88.912
1787313065.2881768,-2.477882207512444,5.799834200444632e-07,0.0005102731484926175,-4.55063685084887,-0.059072059345146796,-88.91337427333323,2.0736,88.914
1787313065.4300892,-2.47788220740406,5.800000954152371e-07,0.0005102708605444254,-4.550207083592885,-0.05907236096546418,-88.92231086875505,2.0732,88.923
1787313065.4995465,-2.47788220726003,5.800399002465703e-07,0.0005102529572642439,-4.551512027746074,-0.05815621451507882,-88.90535079367368,2.0744,88.906
1787313065.6416464,-2.477882207266529,5.801046222955796e-07,0.0005108003059346224,-4.55090498843851,-0.05841035658723762,-88.90801734357535,2.0738,88.909
1787313065.713731,-2.4778822073789613,5.80000014191093e-07,0.0005102726866284826,-4.550434571246713,-0.05860939411826629,-88.9176632606421,2.0734,88.918
1787313065.7835257,-2.477882207233685,5.800406967458843e-07,0.0005102549057807447,-4.551703695114756,-0.05782499231541721,-88.90149195111853,2.0746,88.902
1787313065.9098213,-2.477882207237298,5.801034329064704e-07,0.0005108025228754456,-4.550627556211356,-0.058417099042139174,-88.91364535548043,2.0736,88.914
1787313066.0413916,-2.477882207202427,5.800392383242304e-07,0.0005102568003394403,-4.5505840750849655,-0.05840518695773349,-88.91401561208961,2.0735,88.915
1787313066.1104167,-2.4778822074324536,5.799821015061129e-07,0.0005102794783308749,-4.551206759574281,-0.05805595548161941,-88.90188438510944,2.0741,88.902
1787313066.181252,-2.4778822073124385,5.800377619440686e-07,0.0005102609540243276,-4.55073028523868,-0.05834447683188095,-88.91148757551474,2.0737,88.912
1787313066.3103492,-2.4778822072028475,5.800558207211444e-07,0.000510258713730456,-4.550075391953186,-0.05868073417405319,-88.92525545468068,2.0730,88.926
1787313066.3816504,-2.4778822074159557,5.79985633778515e-07,0.0005102816426064239,-4.551205806271186,-0.05881744255354546,-88.91167605672064,2.0742,88.912
1787313066.5066218,-2.4778822074214473,5.800483387662287e-07,0.0005108293146876468,-4.5507298734972625,-0.058886175452075994,-88.91167426124215,2.0737,88.912
1787313066.6404638,-2.4778822073881277,5.79984315448711e-07,0.0005102837836948906,-4.550322292710837,-0.0589632619579139,-88.91991006961358,2.0733,88.920
1787313066.712582,-2.4778822072618305,5.800380166564982e-07,0.0005102655595215595,-4.5509608020193095,-0.05903475139417674,-88.90672811551813,2.0739,88.907
1787313066.7837207,-2.47788220749916,5.799828026538845e-07,0.0005102877763353018,-4.550544130120091,-0.05904829482471576,-88.91516882466102,2.0735,88.916
1787313066.9125094,-2.477882207390742,5.800006109802313e-07,0.0005102852188636775,-4.550161690518514,-0.05905929540911647,-88.92327808079207,2.0731,88.924
1787313067.0373116,-2.477882207478761,5.79984051094092e-07,0.0005102896287604641,-4.551439075365621,-0.058161369246607066,-88.90693467246989,2.0744,88.907
1787313067.105404,-2.4778822072531246,5.801038884015142e-07,0.0005108145996075121,-4.550887436442016,-0.05839758339499699,-88.9085095650105,2.0738,88.909
1787313067.2280984,-2.47788220722003,5.800396449319749e-07,0.0005102689002157831,-4.550434990762158,-0.05859589232280486,-88.91766075499332,2.0734,88.918
1787313067.3040776,-2.4778822074507425,5.799824597989083e-07,0.0005102914128877723,-4.550056482457716,-0.05874302074064094,-88.92563787400172,2.0730,88.926
1787313067.3860176,-2.477882207331363,5.800380814398819e-07,0.000510272764109811,-4.549598997517969,-0.0588872665586331,-88.93530000277701,2.0726,88.936
1787313067.524948,-2.4778822072227795,5.8005612259832e-07,0.0005102706518953782,-4.549424870692559,-0.05893214705289867,-88.93898445195993,2.0724,88.939
1787313067.5918524,-2.477882207436227,5.799859055840694e-07,0.0005102934033404033,-4.5507557897685995,-0.058993722271915426,-88.92120516415054,2.0737,88.922
1787313067.7278357,-2.4778822074423243,5.800485603569866e-07,0.0005108408741910416,-4.550077745683316,-0.059010890892368384,-88.92510451601841,2.0730,88.926
1787313067.7978501,-2.477882207197396,5.800535984427663e-07,0.0005102725066932054,-4.54985756338708,-0.059014512261750626,-88.92976535981741,2.0728,88.930
1787313067.9331152,-2.4778822072832445,5.800385912489551e-07,0.0005102769661773545,-4.550612352905837,-0.05904221023676493,-88.91409118545911,2.0736,88.915
1787313068.000058,-2.4778822075206444,5.799830338359014e-07,0.0005102990809455575,-4.550310022842887,-0.05903433553852001,-88.92016232601948,2.0733,88.921
1787313068.1393733,-2.477866203058593,0.00041536986038086254,-0.0041864179115499245,-4.549838562453528,-0.0590228915730443,-88.93016653494982,2.0728,88.926
1787313068.2073643,-2.47783369650389,0.0009520249631503183,-0.0277049282940786,-4.5496625118191405,-0.05901764193272575,-88.93390722915028,2.0727,88.906
1787313068.339519,-2.4776341864539595,0.001658680027214996,-0.1274181910006542,-4.5455545866010825,-0.05893377382415611,-89.01308495027989,2.0688,88.886
1787313068.4085848,-2.477390672327312,0.0016113492755784023,-0.14641617701491608,-4.536427920292914,-0.06075882362504081,-89.19554165556316,2.0600,89.049
1787313068.4801219,-2.4769313988625665,0.001288286670657822,-0.1308869326183443,-4.537650013667149,-0.0638737015497435,-89.27044843980825,2.0617,89.140
1787313068.608466,-2.476220010454062,0.00023872953285665455,0.239473794904002,-4.543268181696213,-0.07975379882294518,-89.16062873388417,2.0686,89.400
1787313068.680612,-2.475913539953476,-5.830587681312756e-07,0.6112294583167217,-4.5378324221884005,-0.09137963840927057,-89.15749583813964,2.0639,89.769
1787313068.8118248,-2.474166694758433,0.00024366312970444779,1.1718820272799764,-4.5334548462941955,-0.09671170642740899,-88.671238677471,2.0616,89.843
1787313068.9404624,-2.4722773844823234,0.0006477322269998573,1.3352878561293866,-4.518912151909163,-0.1056191168248701,-88.72620417308639,2.0494,90.061
1787313069.0064466,-2.4710612265433114,0.0005813858992618077,1.2578170961130963,-4.513399798851031,-0.11611231725963155,-88.36762553870722,2.0457,89.625
1787313069.1445405,-2.46817918706145,-0.0005572820411030958,1.3862273528357127,-4.504941097027523,-0.11447706405375124,-88.44336450204615,2.0399,89.830
1787313069.2116838,-2.466817009471499,-0.0014019484706084065,1.6990761945137742,-4.502678384083591,-0.11551590626976886,-88.55555823457806,2.0391,90.255
1787313069.2788537,-2.465623223018743,-0.002085111696051466,2.2284410329424627,-4.502110464810834,-0.12296710350193586,-88.47397805832743,2.0401,90.702
1787313069.4144053,-2.4628162798269444,-0.001982752601460351,2.2200074660124764,-4.509965785603553,-0.1310321175107117,-87.60596817661322,2.0512,89.826
1787313069.4825504,-2.4613660588477586,-0.0015074824489622722,2.0961358672840213,-4.507874346367337,-0.1326981502960624,-87.67789318292034,2.0507,89.774
1787313069.6144938,-2.4589120035439267,-0.0006518347643840535,1.719080991442839,-4.5102647935069164,-0.153281032716754,-87.68777713836992,2.0570,89.407
1787313069.6770964,-2.4576598760891786,-0.0005824382955941241,1.6673660599390707,-4.50512327022227,-0.1631758492785655,-88.16632662758869,2.0539,89.834
1787313069.8166795,-2.4547489566755796,-0.0013252354295186413,1.8279891044607954,-4.502230313823693,-0.16775236732524004,-88.25107871584187,2.0542,90.079
1787313069.9398663,-2.4516898434898544,-0.001938437897349237,2.4798524836999243,-4.508657068988828,-0.17567960160001803,-88.10101461013188,2.0643,90.581
1787313070.0038366,-2.4498658653544467,-0.0017628680764426425,2.790570549380346,-4.5127425081185235,-0.19730071894479864,-87.5454328662612,2.0721,90.336
1787313070.1383169,-2.4461699562668175,-0.0006822511689370193,3.236464940957758,-4.514304253650107,-0.19432025979001735,-87.21947438660881,2.0772,90.456
1787313070.2038624,-2.4445569020957665,-3.36308632707795e-05,3.1478599175723305,-4.511834675926016,-0.16609121110625857,-86.71034514947135,2.0739,89.858
1787313070.3389184,-2.4415765637945466,0.00018463913127675347,3.0975706711904007,-4.504055430242177,-0.1525684141740263,-86.56020750856244,2.0681,89.658
1787313070.40946,-2.439943938854609,-0.00014036972468314747,3.0425002227013644,-4.495968018683761,-0.12904043105008345,-86.86762395868907,2.0601,89.910
1787313070.540413,-2.4369787453114506,-0.0011387743573569352,3.451753405278648,-4.482466316359739,-0.09400411718798257,-87.18110522422388,2.0476,90.633
1787313070.609881,-2.435636099652968,-0.001385786225609434,3.4687851820495825,-4.4875511734649765,-0.08513072403706727,-87.09081901638137,2.0536,90.560
1787313070.6781442,-2.4342372757035147,-0.001320398491278754,3.503761217603478,-4.47275126987358,-0.07668500148532505,-86.94589589074721,2.0399,90.450
1787313070.81406,-2.4314897320009763,-0.000512882910283259,3.293382285100457,-4.463332048653408,-0.06866805130310388,-87.13612334654364,2.0330,90.430
1787313070.8805714,-2.4303427173557366,-0.00013502796108076382,2.8835520759377715,-4.495341969847872,-0.0732649276210571,-86.6107553546934,2.0663,89.494
1787313071.0114388,-2.427752913060819,-0.0001467600947314151,2.8589870582706496,-4.496760686613364,-0.07441718293614273,-87.1310752381749,2.0703,89.990
1787313071.0791643,-2.4263456940796075,-0.000567234810203618,2.949183567978538,-4.503598650005477,-0.07298494300593887,-87.04690177341638,2.0785,89.996
1787313071.2113903,-2.423904235574824,-0.0015557808801416315,3.2354885646885037,-4.513353553717875,-0.09103530967452947,-86.8380110900603,2.0914,90.073
1787313071.3428228,-2.4215427498749214,-0.0016676013914331848,3.41637630567176,-4.503252788381034,-0.10399934066857497,-86.67160093967878,2.0842,90.088
1787313071.4127896,-2.4203109383595542,-0.0013389880702588059,3.4288161784472897,-4.502693353062993,-0.11364980010728969,-86.62885557359499,2.0854,90.058
