t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err
1787366953.0678706,-2.4780068170796117,4.744044731200264e-06,-9.88961445037273e-05,-2.548033450350222,-0.48818641813970814,134.74154301034798,0.4932,134.742
1787366953.1404686,-2.478006817232373,4.743375928749019e-06,-9.883457545508305e-05,-2.5391140140530974,-0.48459586837761304,134.91616682747275,0.4884,134.916
1787366953.2119634,-2.4780068171726723,4.74397187099959e-06,-9.932221280686357e-05,-2.5462662513247163,-0.48760148017901167,134.8362291968007,0.4924,134.836
1787366953.3508508,-2.4780068171523846,4.743820129417129e-06,-9.919424786483747e-05,-2.5490220288602794,-0.49031388493495276,134.7484779881237,0.4954,134.749
1787366953.4204621,-2.4780068173136964,4.743180162671652e-06,-9.913163642732581e-05,-2.5562454620178334,-0.4959459950855068,134.56390331252325,0.5021,134.564
1787366953.564079,-2.4780068172679526,4.743094415081769e-06,-9.899208826657691e-05,-2.550887879542065,-0.49191690431730234,134.65366245130758,0.4973,134.654
1787366953.6429157,-2.4780068171391303,4.743831348555811e-06,-9.896376746866499e-05,-2.544793311803868,-0.4868083473142788,134.80976834438405,0.4914,134.810
1787366953.7168307,-2.478006817123946,4.743158527894484e-06,-9.887787633606565e-05,-2.54120857782657,-0.4858397452269826,134.89453807174343,0.4899,134.895
1787366953.8625216,-2.478006817167769,4.743007845951108e-06,-9.929268531278682e-05,-2.5350320351068745,-0.4847576085442778,134.98952126018182,0.4881,134.990
1787366953.936775,-2.478006817110161,4.743812615784292e-06,-9.927083811911379e-05,-2.538652519408088,-0.4845983461863532,134.9432150268778,0.4884,134.943
1787366954.006876,-2.4780068171612317,4.743088814561234e-06,-9.917787661386497e-05,-2.5363393992198984,-0.48312331863621916,134.99755264087702,0.4866,134.998
1787366954.1393154,-2.4780068171880334,4.743099840232007e-06,-9.90598526732786e-05,-2.5376589407039325,-0.4891070476324717,134.9157936442219,0.4927,134.916
1787366954.2100797,-2.47800681706998,4.744316894747199e-06,-9.904858457774098e-05,-2.5381637270707182,-0.48867450282534575,134.90932265558135,0.4924,134.909
1787366954.3501663,-2.4780068170282252,4.744255744564219e-06,-9.892785232589359e-05,-2.5399824099125743,-0.49375929955000614,134.81394748706626,0.4976,134.814
1787366954.4220412,-2.4780068170929526,4.743213469238629e-06,-9.88361823193209e-05,-2.541100399263932,-0.49402222790943584,134.79507689796813,0.4980,134.795
1787366954.5639648,-2.478006817050759,4.743094930359721e-06,-9.925444276749733e-05,-2.541888576221505,-0.49416598536672546,134.78131075977436,0.4983,134.781
1787366954.6330822,-2.478006817126574,4.744302071744511e-06,-9.923847463924136e-05,-2.542179941732216,-0.49176503811167865,134.78327335884012,0.4959,134.783
1787366954.7021148,-2.478006817025701,4.7431274136166635e-06,-9.912185629849682e-05,-2.543473218252983,-0.4945560352046683,134.75902444705324,0.4989,134.759
1787366954.8336024,-2.478006816969163,4.7430449540251e-06,-9.899598375894862e-05,-2.5451078177238635,-0.49711875896371527,134.69759449175896,0.5016,134.698
1787366954.9080641,-2.478006817074753,4.74432328315721e-06,-9.898468037836981e-05,-2.551950252163702,-0.4970767628538161,134.61192421230604,0.5026,134.612
1787366955.0579653,-2.4780068170460683,4.744284433233958e-06,-9.886307607042717e-05,-2.56529527516053,-0.5021575480133041,134.33449953790017,0.5097,134.335
1787366955.127864,-2.478006817066463,4.74356407326003e-06,-9.931977569988996e-05,-2.5632973125861467,-0.5024323262609679,134.33169618158803,0.5096,134.332
1787366955.2653542,-2.478006817027801,4.743587713788448e-06,-9.919769089514955e-05,-2.561706638227459,-0.5026258433097621,134.3512292181476,0.5096,134.351
1787366955.3332703,-2.4780068171452116,4.744259470807112e-06,-9.915991618017313e-05,-2.57029815631977,-0.5076684833319802,134.17393740702593,0.5160,134.174
1787366955.4608288,-2.4780068171319973,4.744385381052558e-06,-9.904917076195429e-05,-2.568150964420733,-0.5055991644328254,134.19099650086756,0.5136,134.191
1787366955.5298786,-2.478006817005783,4.744105199287941e-06,-9.897616626124529e-05,-2.562910263384698,-0.5073000426982958,134.26180762317074,0.5144,134.262
1787366955.6712294,-2.4780068169913005,4.744238852899313e-06,-9.886916557112093e-05,-2.5606004779677796,-0.5069972553454296,134.30035512051543,0.5137,134.300
1787366955.730134,-2.478006817095192,4.744466325216473e-06,-9.882200187793116e-05,-2.5600043460852944,-0.5064435789120239,134.3188388761252,0.5130,134.319
1787366955.8688323,-2.4780068172060368,4.744467026265636e-06,-9.924774275833057e-05,-2.558052748951543,-0.5049435655851736,134.3703302658166,0.5113,134.370
1787366955.9319055,-2.4780068170889766,4.744208403612937e-06,-9.917434254929875e-05,-2.553850648812951,-0.5015006889497476,134.46315509936,0.5072,134.463
1787366956.008097,-2.4780068170731524,4.744434560731442e-06,-9.91221101122281e-05,-2.5482615290387676,-0.4962724216695585,134.61361873659328,0.5012,134.614
1787366956.1597838,-2.4780068170221288,4.744543020016452e-06,-9.90118849762392e-05,-2.5514990617271063,-0.4979551256984018,134.58352966318688,0.5034,134.584
1787366956.2259343,-2.478006817027275,4.744196271353927e-06,-9.892113956300881e-05,-2.546796850162489,-0.493663524623574,134.67597110025093,0.4984,134.676
1787366956.3727982,-2.47800681699948,4.744283355208594e-06,-9.88123324762801e-05,-2.5408431287124027,-0.49041192439753506,134.81973664136137,0.4944,134.820
1787366956.4461591,-2.478006817057754,4.74498391947402e-06,-9.933317974971908e-05,-2.540863937780117,-0.49023988301750654,134.82356373089232,0.4943,134.824
1787366956.518927,-2.4780068170980036,4.744168834355995e-06,-9.922614331988598e-05,-2.5445935009878893,-0.49226960950721305,134.77199409460619,0.4968,134.772
1787366956.663751,-2.4780068170915905,4.744292588858436e-06,-9.91149163736917e-05,-2.5467618974346293,-0.4961810799257365,134.68681917633003,0.5009,134.687
1787366956.7309072,-2.4780068170269036,4.74496140583837e-06,-9.907639205741274e-05,-2.5498712235443843,-0.5017538228615267,134.55780105477314,0.5069,134.558
1787366956.8663158,-2.478006817020075,4.744093336321088e-06,-9.893422896138384e-05,-2.546642525792054,-0.5001035401950809,134.5877522546812,0.5048,134.588
1787366956.9399507,-2.478006817095026,4.744003696811243e-06,-9.887539252880501e-05,-2.5527944086969185,-0.5058968789697531,134.4525885070576,0.5114,134.453
1787366957.0135257,-2.47800681700677,4.743922647516634e-06,-9.881148479999292e-05,-2.5544235867799214,-0.5077685947394233,134.40045700445913,0.5135,134.401
1787366957.16145,-2.4780068171247187,4.743903076146773e-06,-9.923639821970252e-05,-2.556397608170887,-0.5096504040116806,134.34303836888108,0.5156,134.343
1787366957.2342725,-2.4780068172041565,4.743844949179666e-06,-9.917595682482771e-05,-2.559174746780561,-0.5125109072577311,134.2590817428421,0.5189,134.259
1787366957.371274,-2.478006817186646,4.744347512261664e-06,-9.90769767804881e-05,-2.5604722128485133,-0.5137731940536161,134.22095941301018,0.5204,134.221
