t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err,fix_x,fix_y,fix_yaw,fix_err
1787549526.856087,-2.4713671736524834,1.308665968084168e-06,-3.255958675480549e-05,-2.6328426724039304,-0.0019771148623161042,-0.01706685913743582,0.1615,0.017,,,,
1787549526.9433079,-2.47223499778815,1.3065982359408918e-06,-3.129298266957354e-05,-2.6328522232052403,-0.0019769320932327803,-0.0170698621764804,0.1606,0.017,,,,
1787549527.0214102,-2.473188897045559,1.3050323626831732e-06,-3.0429922398401755e-05,-2.632872836632463,-0.001976533037209858,-0.01707534522057075,0.1597,0.017,,,,
1787549527.1755652,-2.475362117488193,1.2980370995661493e-06,-2.7866532148716528e-05,-2.632858592787641,-0.0019768102745514665,-0.017071625204401874,0.1575,0.017,,,,
1787549527.2485096,-2.4765854112870995,1.2937867177268282e-06,-2.6679494817380168e-05,-2.632859923862046,-0.0019767854393210865,-0.017071495571277833,0.1563,0.017,,,,
1787549527.3156385,-2.477902724235066,1.289193067986451e-06,-2.4873976328310794e-05,-2.6328701055946477,-0.0019765893975700085,-0.017072650115247986,0.1550,0.017,,,,
1787549527.466161,-2.4798051947946678,1.695981373920838e-06,-2.906592194224208e-05,-2.6328908037599543,-0.001976188353996368,-0.017074585723832258,0.1531,0.017,,,,
1787549527.5445716,-2.4804780716255714,1.945723896427552e-06,-3.180371441718642e-05,-2.632878643913613,-0.001976425257050823,-0.017073591762912864,0.1524,0.017,-2.616711862420979,0.03516839996237281,-0.8503138108964825,0.1407
1787549527.6310508,-2.4810243236190432,2.0425788133516913e-06,-3.180628842721829e-05,-2.619470963114258,0.03358594945743778,-0.8246752767161064,0.1425,0.825,-2.616711862420979,0.03516839996237281,-0.8503138108964825,0.1402
1787549527.7071233,-2.4814245033662683,2.047247491523995e-06,-3.0518541401170086e-05,-2.546245013796876,0.004263870731769221,-0.1436256617733301,0.0650,0.144,-2.509426147522328,-0.005344367344481578,0.022807634023684006,0.0285
