t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err,fix_x,fix_y,fix_yaw,fix_err
1787416825.8087373,-1.0000646837653215,2.499895146139032,0.02515911746692705,-1.4612770728176185,-0.3832259823116203,-150.3432961271672,2.9198,150.368,-1.4916492138161255,-0.30708466901486486,-148.8644729845083,2.8497
1787416825.934482,-1.0002740209078975,2.4995795562627,0.023033060761191295,-1.405998203461952,-0.3509452529170275,-150.14471599581267,2.8793,150.168,-1.4210902118112883,-0.2518243825030525,-148.5283475538693,2.7834
1787416826.055658,-1.0006863950921856,2.4989582528866943,0.015543792718777356,-1.3890060342130366,-0.32563083719083,-149.945008068252,2.8512,149.961,-1.4210902118112883,-0.2518243825030525,-148.5283475538693,2.7827
1787416826.1198125,-1.0008925694945188,2.498647644190357,0.011316647875596626,-1.3853602995744334,-0.3211285497798329,-149.91480056374232,2.8459,149.926,-1.4716528580027013,-0.27545549873152714,-148.49794100453175,2.8138
1787416826.2404609,-1.0013049077171026,2.4980264794653024,0.0019095072756686946,-1.4006749985247202,-0.314309348618425,-149.7072489916298,2.8406,149.709,-1.494546339170033,-0.2855336399613639,-148.4737534868997,2.8269
1787416826.3579576,-1.0017172477269194,2.497405353329634,-0.008757087904773465,-1.3984253565734268,-0.27487984492556083,-148.5211835962571,2.8005,148.512,-1.4092918322113557,0.10568890213923098,-142.44692215747136,2.4262
1787416826.463548,-1.0021296020063606,2.496784239499072,-0.020673206056452013,-1.3615534730044145,-0.2893112039175435,-149.04453167866828,2.8092,149.024,-1.4241410636049028,0.08284446616206849,-142.68981834130963,2.4506
1787416826.522535,-1.0023357871869873,2.496473681500701,-0.027097799710044678,-1.3852935095628864,-0.2170358051248389,-147.78476743381665,2.7404,147.758,-1.559762719203395,-0.32695763504172526,-148.66183818167923,2.8779
1787416826.6421187,-1.0027481775238827,2.4958525551712394,-0.04087713377713845,-1.4507860112712523,-0.2505993723803176,-147.900259866577,2.7828,147.859,-1.4582069359679108,-0.01033700136298825,-143.88367892766254,2.5472
1787416826.761361,-1.003160598291887,2.495231407017702,-0.05589381161326687,-1.44439223761877,-0.20857754757774608,-147.31851089180566,2.7396,147.263,-1.4559156398622617,-0.03653665702765186,-144.37243931139122,2.5719
1787416826.8178415,-1.0033668212068296,2.494920822350804,-0.0638653346405366,-1.4483968036458559,-0.17355724794581603,-146.70080938162843,2.7053,146.637,-1.480031336607755,-0.04302886779304871,-144.34010718254504,2.5823
1787416826.9359033,-1.0038089312953242,2.495724748699447,-0.05452888091368755,-1.4567846352389031,-0.1229848364483649,-145.8809416180521,2.6576,145.826,-1.476136608907303,-0.07144477472794208,-144.84199638951026,2.6103
1787416827.0459328,-1.0042622934223937,2.4965465768432287,-0.04209224445616127,-1.4417610618322088,-0.11478414938992673,-146.11659886074642,2.6477,146.075,-1.531609319947688,-0.15605537003566605,-145.70929475610245,2.7045
1787416827.1118085,-1.004591463669497,2.4970813651821566,-0.03394085806953081,-1.483172455895546,-0.12803922881778151,-145.65217505833826,2.6684,145.618,-1.5646669172643268,-0.2324498168435836,-146.88670796919934,2.7864
