t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err,fix_x,fix_y,fix_yaw,fix_err
1787476027.8123045,-2.479876239042316,1.915427693856362e-06,-0.00038104332499049135,-2.5221153723045124,0.004653959095457565,-0.05760393567873994,0.0425,0.057,-2.5392374624708975,0.0036081786971446338,-0.040504241240638894,0.0595
1787476027.8827996,-2.4806025989962808,1.8502308869215516e-06,-0.0003786065182200767,-2.52215678906358,0.004643375304445312,-0.05209299858076334,0.0418,0.052,-2.5392374624708975,0.0036081786971446338,-0.040504241240638894,0.0587
1787476028.0090787,-2.481603269554331,-3.199036017860414e-08,-0.0003482233609518788,-2.5221825950525836,0.004724749496554437,-0.11085264284615852,0.0409,0.111,-2.5154009931872383,0.0012518348938425007,-0.002664438806685624,0.0338
1787476028.1343558,-2.482005561148569,-4.866506804358805e-06,-0.00027784118871005347,-2.5183937701572425,0.001968797893487757,-0.012608845314445886,0.0364,0.012,-2.5154009931872383,0.0012518348938425007,-0.002664438806685624,0.0334
1787476028.1936276,-2.481983623321039,-7.819063106452966e-06,-0.00023533910751972193,-2.496041324064743,0.00468565042195471,-0.09707180633696057,0.0148,0.097,-2.4880064746879285,0.005324765795582637,-0.10475066184900025,0.0080
1787476028.2866058,-2.481493811533485,-1.4832649536710655e-05,-0.00013028208217510216,-2.4960037426310193,0.004690190971062635,-0.09614932918436433,0.0153,0.096,-2.4880064746879285,0.005324765795582637,-0.10475066184900025,0.0084
1787476028.4077625,-2.4804072161459074,-1.8503367001098777e-05,-6.328473736445022e-05,-2.4815877033959706,0.0070064372123911575,0.10190858925480764,0.0071,0.102,-2.4731521221291324,0.00579325374336574,0.12228937764093184,0.0093
1787476028.5343711,-2.478717811976596,-1.994086664664502e-05,-1.6898331345034794e-05,-2.481607270066698,0.008349579866362112,-0.21462083332831366,0.0089,0.215,-2.4694574399797427,0.019223970225576703,-0.2595416235176129,0.0214
1787476028.5809639,-2.4779361471450123,0.00024257848937799835,-0.005898862687176753,-2.47512951691105,0.016147262470228026,-0.22207010620885112,0.0162,0.216,-2.4694574399797427,0.019223970225576703,-0.2595416235176129,0.0208
1787476028.6984863,-2.4767294375388698,0.00042415884458245497,-0.01021966379614561,-2.4689860121375755,0.01703083591140786,-0.1319038756885434,0.0183,0.122,-2.460757505087129,0.015140196583602272,-0.09669599919461784,0.0217
1787476028.81862,-2.475895564689544,0.00040537726655939875,-0.010183444107937888,-2.4689555201907765,0.017045992225194942,-0.1306485868188876,0.0180,0.120,-2.460757505087129,0.015140196583602272,-0.09669599919461784,0.0211
1787476028.9036129,-2.475620208755762,0.0003626432564057214,-0.009330479789571884,-2.469540452659452,0.018527370990157853,-1.431858089187899,0.0192,1.423,-2.460757505087129,0.015140196583602272,-0.09669599919461784,0.0210
1787476029.023832,-2.4753524427748315,0.000262511821774567,-0.0071176100126924624,-2.501780870647911,0.030143848992825264,0.0858306772640003,0.0399,0.093,-2.555308629303625,0.03171027961387963,0.08068048663608783,0.0859
1787476029.0860949,-2.4753594484345847,0.00021435137318128958,-0.0060002992728396985,-2.5018660357063633,0.030187165599686705,0.09270075327787253,0.0400,0.099,-2.555308629303625,0.03171027961387963,0.08068048663608783,0.0859
1787476029.2062714,-2.4756558849437447,0.0001355466557976045,-0.0041193381457212425,-2.5199763194175957,0.07391417130752834,-0.7919505483309881,0.0861,0.788,-2.5445287057505266,0.09944684197959655,-1.2225377147757739,0.1209
1787476029.3145063,-2.4763298808237977,8.134776865735988e-05,-0.0028029740003682017,-2.520057839272714,0.07412425939512746,-0.8007848995795336,0.0860,0.798,-2.5445287057505266,0.09944684197959655,-1.2225377147757739,0.1205
1787476029.3796618,-2.476809216731997,6.216767466179216e-05,-0.0023345204977806215,-2.5297561420369434,0.08735174868171079,-0.9539731888452325,0.1021,0.952,-2.5390927683103257,0.09591979185273455,-1.1092227270591266,0.1143
1787476029.5110364,-2.4780560127896636,3.634689555402935e-05,-0.0017030236504404557,-2.541829306792016,0.10765303107438542,-1.4903641244019745,0.1251,1.489,-2.6500713850752065,0.25369802465245606,-4.325781842026396,0.3065
1787476029.6196547,-2.478755054785094,2.769050744384511e-05,-0.0015203511457457875,-2.554636376555544,0.12892938891068542,-1.9392440227664556,0.1496,1.938,-2.650492115628737,0.2589524974717311,-4.458667006576144,0.3107
1787476029.7247033,-2.478863990479178,1.7248866145060197e-05,-0.0012973933809088934,-2.5546955662577386,0.1290584569804925,-1.9544958187967236,0.1497,1.953,-2.650492115628737,0.2589524974717311,-4.458667006576144,0.3107
1787476029.795584,-2.478687201895361,1.2119555896535018e-05,-0.0011947306588147937,-2.5591624815352194,0.11384709015258086,-1.5604755666560188,0.1394,1.559,-2.5455565168597394,0.0951111990534366,-1.1606112288412458,0.1163
1787476029.9303615,-2.4781524964946784,4.9757949652568705e-06,-0.0010523465843762572,-2.5891218417406052,0.09442234964013206,-1.1431066265231384,0.1457,1.142,-2.594238048753904,0.07599644925311178,-1.0504063382013142,0.1387
1787476029.9938319,-2.478040447041969,2.611997818760146e-06,-0.0010038140287372565,-2.5906799441085124,0.08323857851808181,-1.1471847554584413,0.1401,1.146,-2.594238048753904,0.07599644925311178,-1.0504063382013142,0.1388
1787476030.1107771,-2.4779641540330175,-1.8873116052915413e-07,-0.0009456713300563168,-2.596539357960332,0.07777185448762329,-1.1850434076045395,0.1418,1.184,-2.5981850106878848,0.07093119066655712,-1.0194955623683484,0.1396
1787476030.1777422,-2.477960371854609,-9.213989427329071e-07,-0.0009299871997067709,-2.5977797949161907,0.07933965227247836,-1.972239103643975,0.1437,1.971,-2.49330571015499,0.023844873394454257,-0.13142016534900125,0.0284
1787476030.3138585,-2.4779744111089017,-1.5970379415575751e-06,-0.0009145107294594185,-2.5496283213018276,0.04220917012187867,-0.4363594722331648,0.0832,0.435,-2.49330571015499,0.023844873394454257,-0.13142016534900125,0.0283
1787476030.426534,-2.4779933187261673,-1.67938297526246e-06,-0.0009109968087456957,-2.5301141651711454,0.02583489720427567,-0.22691333190481758,0.0582,0.226,-2.5027633050370706,0.015259572987206399,-0.054646240020076856,0.0291
1787476030.4907088,-2.478001251548675,-1.608254908671376e-06,-0.0009115098445835882,-2.5307345265112997,0.0271493069877703,-1.1393833079924052,0.0593,1.138,-2.5027633050370706,0.015259572987206399,-0.054646240020076856,0.0291
1787476030.6153271,-2.477990803534066,0.0002907893737667187,-0.0161031732947849,-2.538716411111713,0.016673393106623184,-0.036791016820509274,0.0629,0.021,-2.5610779858047175,0.009290007238131972,0.010793328960686828,0.0836
1787476030.7160175,-2.47787255809233,0.0008853272088368704,-0.05304183356454596,-2.54605447327899,0.01180695957759052,-0.024842197198572964,0.0691,0.028,-2.5610779858047175,0.009290007238131972,0.010793328960686828,0.0836
1787476030.8255014,-2.477547648290955,0.0010132641197854503,-0.06731852190207072,-2.5462437404764056,0.011314873093968687,-0.0032703970948765745,0.0695,0.064,-2.5610779858047175,0.009290007238131972,0.010793328960686828,0.0839
1787476030.8958423,-2.477270733705543,0.0007089657625628128,-0.05761641773308109,-2.5204070021831138,0.02043837972418212,-0.2774001370698533,0.0474,0.220,-2.498698763726481,0.018321317336990564,-0.21162218170496463,0.0277
1787476030.9639482,-2.476954686989674,6.295848196663056e-05,0.021105487252432296,-2.5293686753053835,0.02243984928948883,-0.3894431145990108,0.0570,0.411,-2.5355106530522185,0.01713918357846914,-0.26519808924098903,0.0610
1787476031.1314173,-2.4764758226044408,-0.0013763834824511737,0.4183348140320512,-2.5548998738742372,0.0366140990017669,-0.6582778425709347,0.0871,1.077,-2.603125780180368,0.05218298241027787,-0.9217656645942507,0.1375
