t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err
1787369290.952222,-2.4780009871870265,7.128403447760135e-07,-1.2236896884480459e-05,257.6172205811332,-10.263691016343424,-4.484040608223193,260.2977,4.484
1787369291.0129662,-2.4780009872290636,7.128646808942849e-07,-1.2237847206313336e-05,258.5710579683948,-10.329777405019188,-4.493362986471157,261.2534,4.493
1787369291.1475835,-2.4780009872286235,7.12896946817508e-07,-1.2238089638390303e-05,259.0498338246321,-10.363027911021655,-4.498036039455411,261.7331,4.498
1787369291.215826,-2.478000987214421,7.129555940442315e-07,-1.2259961984738632e-05,259.0498338246321,-10.363027911021655,-4.498036039455411,261.7331,4.498
1787369291.3367634,-2.478000987115883,7.128901502388002e-07,-1.224462956782433e-05,260.00840664450294,-10.429679124664972,-4.507379486560356,262.6935,4.507
1787369291.4412005,-2.4780009871390796,7.127406145328796e-07,-1.2780143357574587e-05,260.48849076423494,-10.463139229775084,-4.512052706036063,263.1746,4.512
1787369291.5122142,-2.47800098729502,7.127589155666908e-07,-1.2229519853356396e-05,260.96916326963543,-10.496679981222556,-4.516727460522877,263.6562,4.517
1787369291.590235,-2.4780009872175928,7.128388257622846e-07,-1.2255136087631558e-05,260.96916326963543,-10.496679981222556,-4.516727460522877,263.6562,4.517
1787369291.7269943,-2.478000987212789,7.128769879709209e-07,-1.2242835163109026e-05,261.93116680751996,-10.563887033034817,-4.526070793378124,264.6201,4.526
1787369291.7977602,-2.478000987189297,7.12954296476899e-07,-1.2261671734329207e-05,262.4204719996045,-10.598151200989617,-4.530816718690393,265.1104,4.531
1787369291.9406815,-2.4780009871256294,7.12964008666258e-07,-1.2268243954455922e-05,262.4204719996045,-10.598151200989617,-4.530816718690393,265.1104,4.531
1787369292.0109422,-2.478000987102248,7.129119461747602e-07,-1.2249304542981075e-05,263.3783090401472,-10.665305306941836,-4.540094619418864,266.0702,4.540
1787369292.0865586,-2.478000987318103,7.128160863236431e-07,-1.2240570653742877e-05,263.3783090401472,-10.665305306941836,-4.540094619418864,266.0702,4.540
