t,res_kind,mkind,ref_b_x,ref_b_y,ref_b_yaw,contra_b,raw_x,raw_y,raw_yaw,chosen_x,chosen_y,chosen_yaw,ref_a_x,ref_a_y,ref_a_yaw,contra_a,resid_to_ref,reloc_x,reloc_y,reloc_yaw,prior_x,prior_y,prior_yaw
1787423959.879,full,commit,,,,0,0.0924,-0.7047,0.2027,-0.0924,0.7047,-2.9389,-0.0924,0.7047,-2.9389,0,,,,,0.0000,0.0000,0.0000
1787423959.970,full,ok,-0.0924,0.7047,-2.9389,0,0.1240,0.2414,-3.0672,0.1240,0.2414,-3.0672,0.0158,0.4731,-3.0031,0,0.5113,,,,-0.0924,0.7047,-2.9389
1787423960.044,full,ok,0.0158,0.4731,-3.0031,0,0.1750,0.2529,-3.0649,0.1750,0.2529,-3.0649,0.0954,0.3630,-3.0340,0,0.2716,,,,0.0816,0.4351,-3.0237
1787423960.129,full,ok,0.0954,0.3630,-3.0340,0,0.1493,0.3509,-3.0360,0.1493,0.3509,-3.0360,0.1224,0.3569,-3.0350,0,0.0553,,,,0.0816,0.4351,-3.0237
1787423960.197,full,ok,0.1224,0.3569,-3.0350,0,0.3668,0.1005,-3.1147,0.3668,0.1005,-3.1147,0.2446,0.2287,-3.0748,0,0.3542,,,,0.1657,0.2826,-3.0585
1787423960.284,full,ok,0.2446,0.2287,-3.0748,0,0.4109,0.0598,-3.1250,0.4109,0.0598,-3.1250,0.3278,0.1443,-3.0999,0,0.2370,,,,0.3041,0.1307,-3.1081
1787423960.484,full,ok,0.3278,0.1443,-3.0999,0,0.0779,-0.5007,2.9978,0.0779,-0.5007,2.9978,0.2028,-0.1782,3.0906,0,0.6917,,,,0.5242,-0.1681,3.0835
1787423960.556,full,ok,0.2028,-0.1782,3.0906,0,0.4121,0.0402,-3.1294,0.4121,0.0402,-3.1294,0.3074,-0.0690,3.1222,0,0.3025,,,,0.1673,-0.4345,3.0183
1787423960.683,full,ok,0.3074,-0.0690,3.1222,0,0.4199,0.0122,-3.1371,0.4199,0.0122,-3.1371,0.3637,-0.0284,3.1341,0,0.1387,,,,0.2232,-0.3786,3.0489
1787423960.830,full,ok,0.3637,-0.0284,3.1341,0,0.4025,0.0191,-3.1384,0.4025,0.0191,-3.1384,0.3831,-0.0046,3.1395,0,0.0613,,,,0.2844,-0.2643,3.0464
1787423960.871,full,ok,0.3831,-0.0046,3.1395,0,0.4013,0.0269,-3.1355,0.4013,0.0269,-3.1355,0.3922,0.0111,-3.1396,0,0.0364,,,,0.2844,-0.2643,3.0464
1787423960.942,full,ok,0.3922,0.0111,-3.1396,0,0.4169,0.0589,-3.1280,0.4169,0.0589,-3.1280,0.4045,0.0350,-3.1338,0,0.0538,,,,0.3664,-0.0365,3.1322
1787423961.011,full,ok,0.4045,0.0350,-3.1338,0,0.4193,0.0397,-3.1320,0.4193,0.0397,-3.1320,0.4119,0.0373,-3.1329,0,0.0155,,,,0.3664,-0.0365,3.1322
1787423961.098,full,ok,0.4119,0.0373,-3.1329,0,0.4152,0.0558,-3.1296,0.4152,0.0558,-3.1296,0.4136,0.0465,-3.1313,0,0.0187,,,,0.3993,0.0486,-3.1321
1787423961.170,full,ok,0.4136,0.0465,-3.1313,0,0.4197,0.0652,-3.1248,0.4197,0.0652,-3.1248,0.4166,0.0559,-3.1281,0,0.0196,,,,0.4065,0.0808,-3.1256
1787423961.228,full,ok,0.4166,0.0559,-3.1281,0,0.4413,0.0603,-3.1261,0.4413,0.0603,-3.1261,0.4290,0.0581,-3.1271,0,0.0250,,,,0.4065,0.0808,-3.1256
1787423961.301,full,ok,0.4290,0.0581,-3.1271,0,0.4126,0.0480,-3.1293,0.4126,0.0480,-3.1293,0.4208,0.0530,-3.1282,0,0.0193,,,,0.4128,0.0997,-3.1188
1787423961.393,full,ok,0.4208,0.0530,-3.1282,0,0.4302,0.0789,-3.1213,0.4302,0.0789,-3.1213,0.4255,0.0660,-3.1247,0,0.0275,,,,0.4229,0.1119,-3.1162
1787423961.454,full,ok,0.4255,0.0660,-3.1247,0,0.4574,0.0708,-3.1213,0.4574,0.0708,-3.1213,0.4414,0.0684,-3.1230,0,0.0323,,,,0.4270,0.1299,-3.1117
1787423961.578,full,ok,0.4414,0.0684,-3.1230,0,0.3919,0.0417,-3.1319,0.3919,0.0417,-3.1319,0.4167,0.0550,-3.1275,0,0.0563,,,,0.4510,0.1325,-3.1092
1787423961.657,full,ok,0.4167,0.0550,-3.1275,0,0.3317,-0.0656,3.1223,0.3317,-0.0656,3.1223,0.3742,-0.0053,3.1390,0,0.1476,,,,0.4170,0.1395,-3.1103
1787423961.708,full,ok,0.3742,-0.0053,3.1390,0,0.4047,0.0446,-3.1306,0.4047,0.0446,-3.1306,0.3895,0.0196,-3.1374,0,0.0585,,,,0.4170,0.1395,-3.1103
1787423961.807,full,ok,0.3895,0.0196,-3.1374,0,0.4152,0.0511,-3.1291,0.4152,0.0511,-3.1291,0.4023,0.0354,-3.1332,0,0.0406,,,,0.3798,0.0790,-3.1249
1787423961.908,full,ok,0.4023,0.0354,-3.1332,0,0.3978,0.0525,-3.1274,0.3978,0.0525,-3.1274,0.4000,0.0439,-3.1303,0,0.0178,,,,0.3961,0.0923,-3.1217
1787423961.986,full,ok,0.4000,0.0439,-3.1303,0,0.3444,-0.0411,3.1288,0.3444,-0.0411,3.1288,0.3722,0.0014,3.1408,0,0.1017,,,,0.3936,0.1082,-3.1156
1787423962.050,full,ok,0.3722,0.0014,3.1408,0,0.3952,0.0576,-3.1270,0.3952,0.0576,-3.1270,0.3837,0.0295,-3.1346,0,0.0607,,,,0.3613,0.0694,-3.1301
1787423962.129,full,ok,0.3837,0.0295,-3.1346,0,0.3516,-0.0389,3.1294,0.3516,-0.0389,3.1294,0.3677,-0.0047,3.1389,0,0.0755,,,,0.3613,0.0694,-3.1301
1787423962.181,full,ok,0.3677,-0.0047,3.1389,0,0.3226,-0.0343,3.1308,0.3226,-0.0343,3.1308,0.3451,-0.0195,3.1349,0,0.0540,,,,0.3730,0.0758,-3.1245
1787423962.296,full,ok,0.3451,-0.0195,3.1349,0,0.3247,-0.0443,3.1298,0.3247,-0.0443,3.1298,0.3349,-0.0319,3.1324,0,0.0322,,,,0.3353,0.0366,-3.1367
1787423962.352,full,ok,0.3349,-0.0319,3.1324,0,0.3193,-0.0566,3.1266,0.3193,-0.0566,3.1266,0.3271,-0.0442,3.1295,0,0.0292,,,,0.3217,0.0270,-3.1382
1787423962.423,full,ok,0.3271,-0.0442,3.1295,0,0.3839,0.0363,-3.1313,0.3839,0.0363,-3.1313,0.3555,-0.0040,3.1407,0,0.0986,,,,0.3217,0.0270,-3.1382
1787423962.491,full,ok,0.3555,-0.0040,3.1407,0,0.3519,-0.0461,3.1297,0.3519,-0.0461,3.1297,0.3537,-0.0250,3.1352,0,0.0423,,,,0.3167,0.0076,3.1402
1787423962.543,full,ok,0.3537,-0.0250,3.1352,0,0.3423,-0.0408,3.1308,0.3423,-0.0408,3.1308,0.3480,-0.0329,3.1330,0,0.0194,,,,0.3468,0.0175,-3.1400
1787423962.641,full,ok,0.3480,-0.0329,3.1330,0,0.3527,-0.0496,3.1294,0.3527,-0.0496,3.1294,0.3504,-0.0412,3.1312,0,0.0173,,,,0.3468,0.0175,-3.1400
1787423962.701,full,ok,0.3504,-0.0412,3.1312,0,0.3667,-0.0309,3.1332,0.3667,-0.0309,3.1332,0.3585,-0.0361,3.1322,0,0.0193,,,,0.3414,0.0083,3.1413
1787423962.823,full,ok,0.3585,-0.0361,3.1322,0,0.3753,-0.0236,3.1354,0.3753,-0.0236,3.1354,0.3669,-0.0298,3.1338,0,0.0209,,,,0.3523,0.0031,3.1401
1787423962.952,full,ok,0.3669,-0.0298,3.1338,0,0.3883,-0.0323,3.1326,0.3883,-0.0323,3.1326,0.3776,-0.0311,3.1332,0,0.0215,,,,0.3615,0.0093,-3.1413
1787423963.014,full,ok,0.3776,-0.0311,3.1332,0,0.3900,-0.0222,3.1351,0.3900,-0.0222,3.1351,0.3838,-0.0266,3.1342,0,0.0153,,,,0.3615,0.0093,-3.1413
1787423963.078,full,ok,0.3838,-0.0266,3.1342,0,0.4013,-0.0153,3.1363,0.4013,-0.0153,3.1363,0.3925,-0.0209,3.1352,0,0.0209,,,,0.3812,0.0069,3.1410
1787423963.149,full,ok,0.3925,-0.0209,3.1352,0,0.4070,-0.0152,3.1362,0.4070,-0.0152,3.1362,0.3997,-0.0181,3.1357,0,0.0155,,,,0.3894,0.0092,3.1410
1787423963.223,full,ok,0.3997,-0.0181,3.1357,0,0.4067,-0.0291,3.1333,0.4067,-0.0291,3.1333,0.4032,-0.0236,3.1345,0,0.0131,,,,0.3894,0.0092,3.1410
