t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err,fix_x,fix_y,fix_yaw,fix_err
1787537104.662117,-2.461837168657837,2.163210543765947e-06,-5.9710228646412116e-05,-2.837067681630916,-0.047809520918694205,0.8045503165190339,0.3783,0.805,-3.646354199727832,-0.05531538853514065,0.7757522378367638,1.1858
1787537104.7376525,-2.461743893936046,2.0893001266981926e-06,-5.7518082999043735e-05,-2.83711300083572,-0.04781040562130888,0.8044914641086494,0.3784,0.805,-3.646354199727832,-0.05531538853514065,0.7757522378367638,1.1859
1787537104.8323014,-2.461753951036328,1.9623806425191786e-06,-5.3466105497636214e-05,-2.837124242792471,-0.04781062871860327,0.8044337891526864,0.3784,0.804,-3.646354199727832,-0.05531538853514065,0.7757522378367638,1.1859
1787537104.9665687,-2.462026452857707,1.8545434281907114e-06,-4.961945167420319e-05,-2.8371770364297313,-0.0478110833016656,0.8044724133364891,0.3782,0.805,-3.646354199727832,-0.05531538853514065,0.7757522378367638,1.1856
1787537105.0394473,-2.4622617100848916,1.8057967576079025e-06,-4.772350574534188e-05,-2.837231993454973,-0.04781123208326785,0.8045807178246726,0.3780,0.805,-3.353451773284603,-0.04107839264722568,0.8045807178246726,0.8921
1787537105.1700106,-2.4629325340005033,1.7166365210361239e-06,-4.39476464286546e-05,-2.9605732581163804,-0.048622488519088965,0.8203892664750247,0.5000,0.820,-3.353451773284603,-0.04107839264722568,0.8045807178246726,0.8915
1787537105.2376766,-2.463369404888955,1.6745866259737475e-06,-4.210306475740296e-05,-2.9607871031055457,-0.048623162907830565,0.8205076374520054,0.4998,0.821,-3.353451773284603,-0.04107839264722568,0.8045807178246726,0.8910
1787537105.3772287,-2.464450298278958,1.5999920225586047e-06,-3.825917311037991e-05,-2.9607199763695706,-0.04862310201837008,0.8204522801957288,0.4986,0.820,-3.353451773284603,-0.04107839264722568,0.8045807178246726,0.8900
1787537105.4593961,-2.465096406975937,1.5647345723432068e-06,-3.6411716301702124e-05,-3.0906172602106743,-0.05001081429847222,0.8332406249103829,0.6275,0.833,-3.6457091690309267,-0.04893176446451833,0.820452280195729,1.1816
1787537105.5477748,-2.4658145680843564,1.532696507382719e-06,-3.445586624948067e-05,-3.0906686750804773,-0.0500112766337668,0.8332434619042194,0.6269,0.833,-3.6457091690309267,-0.04893176446451833,0.820452280195729,1.1809
