t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err
1787305373.2071123,-0.36271903653032145,-0.0015443979661626547,0.0001660701438099934,-0.46561689759158575,0.15903699568748939,-2.385343990951872,0.1907,2.386
1787305373.3458757,-0.36271903647413545,-0.001544397965843599,0.0001660688029990681,-0.46561162593623867,0.1590375245296358,-2.385343627623218,0.1907,2.386
1787305373.4214835,-0.36271903655038285,-0.00154439797971087,0.00016607132495881352,-0.4656114801909952,0.15903754979487617,-2.3853439253422453,0.1907,2.386
1787305373.5751853,-0.3627190365181441,-0.0015443979648493708,0.0001660700626374091,-0.465618073144353,0.15903690270192,-2.385343008182994,0.1907,2.386
1787305373.6458259,-0.3627190364902302,-0.0015443979145474138,0.0001666160177018839,-0.4656114778531555,0.15903755098377242,-2.3853439387811326,0.1907,2.386
1787305373.715742,-0.3627190364605535,-0.0015443979646441715,0.00016606865507074484,-0.46561152572808906,0.15903753614862315,-2.385343756554381,0.1907,2.386
1787305373.8524861,-0.3627190365264446,-0.00154439791639469,0.00016661702277296996,-0.4656108455744716,0.15903764807957274,-2.3853464634685433,0.1907,2.386
1787305373.923168,-0.3627190365031052,-0.001544397965451689,0.00016607001145986283,-0.46561118404772045,0.15903761377400905,-2.3853447104606422,0.1907,2.386
1787305373.998472,-0.3627190364748793,-0.0015443979134788994,0.0001666160309403477,-0.4656157465354947,0.15903716611595325,-2.3853440762858744,0.1907,2.386
1787305374.1722727,-0.36271903652035736,-0.0015443979792206766,0.00016607131940806136,-0.46561110039546133,0.15903761758588172,-2.385346096522581,0.1907,2.386
1787305374.2458038,-0.36271903651034065,-0.001544397917089214,0.00016661702132219274,-0.46561078481143436,0.15903767494215,-2.3853454577901045,0.1907,2.386
1787305374.368407,-0.3627190365658553,-0.0015443979795516478,0.0001660722410904638,-0.4656104687032454,0.1590377293254219,-2.3853474499597396,0.1907,2.386
1787305374.422537,-0.3627190365585114,-0.0015443979156372228,0.0001666180733598833,-0.46561114016507016,0.1590376176697422,-2.3853447518739572,0.1907,2.386
1787305374.5568316,-0.36271903651060666,-0.001544397912836763,0.0001666168870528496,-0.4656104594276141,0.1590377176563597,-2.385347306474537,0.1907,2.386
1787305374.6381638,-0.3627190364820311,-0.0015443979646844745,0.00016606976567186895,-0.4656104965104641,0.1590377329645727,-2.3853461619461327,0.1907,2.386
1787305374.7631807,-0.36271903654973625,-0.001544397916588963,0.00016661798671625935,-0.4656102402612375,0.159037773821289,-2.385347989473643,0.1907,2.386
1787305374.857275,-0.36271903649949494,-0.0015443979137900565,0.00016661687032672474,-0.46561585845972875,0.1590372274588932,-2.3853474273326887,0.1907,2.386
1787305374.955185,-0.36271903654589294,-0.0015443979796068033,0.00016607218890230953,-0.46561585845972875,0.1590372274588932,-2.3853474273326887,0.1907,2.386
1787305375.0222273,-0.3627190365362811,-0.0015443979158205653,0.00016661788538792162,-0.4656101953803425,0.159037755882434,-2.3853464422062562,0.1907,2.386
1787305375.1753125,-0.36271903648496245,-0.001544397912996743,0.00016661683805639635,-0.46560995647572795,0.15903781158389882,-2.3853484455354645,0.1907,2.386
1787305375.248565,-0.36271903645505554,-0.0015443979648535494,0.0001660694412519573,-0.46561002633662457,0.15903781862396113,-2.3853485488849935,0.1907,2.386
1787305375.3257885,-0.36271903653059506,-0.0015443979788047723,0.00016607213744794467,-0.4656100798656262,0.15903781496526406,-2.3853485042696994,0.1907,2.386
1787305375.4131553,-0.36271903652064036,-0.0015443979167035977,0.00016661783747376832,-0.4656101634049142,0.15903779946815028,-2.3853483148609254,0.1907,2.386
1787305375.4877229,-0.3627190364972183,-0.0015443979641144546,0.00016607076779175825,-0.4656099882863711,0.1590378270948289,-2.3853473068997384,0.1907,2.386
1787305375.6616702,-0.36271903643881,-0.0015443979640443262,0.00016606925427285147,-0.46560992024217157,0.15903784123750778,-2.3853474773889705,0.1907,2.386
1787305375.7742949,-0.3627190365041453,-0.0015443979158758676,0.00016661777654089035,-0.4656133709223494,0.15903750579917983,-2.385347011881918,0.1907,2.386
1787305375.8281066,-0.3627190364805992,-0.00154439796498299,0.00016607067441953645,-0.4656169467513178,0.15903716123296766,-2.3853465816212904,0.1907,2.386
1787305375.9723125,-0.3627190365521652,-0.0015443979161771408,0.00016661882446875233,-0.465609851644467,0.15903782557671647,-2.385347285157747,0.1907,2.386
1787305376.0546215,-0.3627190365308076,-0.0015443979635936553,0.0001660717982198385,-0.46560980363866045,0.1590378445729968,-2.3853488479349934,0.1907,2.386
1787305376.1363473,-0.36271903650422055,-0.0015443979134050134,0.00016661765066163387,-0.4656096281629871,0.15903788411183906,-2.385347999837187,0.1907,2.386
