t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err,fix_x,fix_y,fix_yaw,fix_err
1787381073.5407472,-2.4780299923565883,1.3750089202136626e-05,-0.00027605488103767394,,,,,,,,,
1787381073.593199,-2.478031136916332,1.4654975323369796e-05,-0.000293365281390458,,,,,,,,,
1787381073.6974998,-2.4780333350903323,1.6301639983653995e-05,-0.00032396358947906027,,,,,,,,,
1787381073.8347678,-2.478034878713234,1.7047250778533805e-05,-0.000336619642563399,,,,,,,,,
1787381073.9042528,-2.478034332089883,1.6053107804807186e-05,-0.00031582307270292475,,,,,,-1.373177911354735,0.6259316893280705,-158.76520297169094,1.2698
1787381074.0345943,-2.478033202191752,1.4681842932937132e-05,-0.00028661514200003786,-1.373177911354735,0.6259316893280705,-158.76520297169094,1.2698,158.765,-2.0020471349132434,1.0598639274001587,-148.3571561983691,1.1618
1787381074.098685,-2.478033078011339,1.473577880552288e-05,-0.00028713070507465336,-1.4762580177629978,0.6096824846715491,-157.1993556798932,1.1727,157.199,-2.08592945506436,1.1237179580853431,-146.85736912907961,1.1901
1787381074.2389948,-2.4780334084054507,1.616136096734748e-05,-0.0003140478923790266,-1.7741539431159326,0.8092335103642446,-152.34578001564336,1.0725,152.345,-2.048365785158723,1.1518577050620473,-147.18090655722375,1.2294
1787381074.3049095,-2.4780331917027034,1.658881018198316e-05,-0.00032188427094228015,-1.8729745842454832,0.9110902350082037,-150.38184504183536,1.0937,150.382,-2.0804021699583335,1.170430778531281,-146.648355932329,1.2361
1787381074.4259844,-2.4780319437509584,1.6513771211621077e-05,-0.0003192022698030746,-1.9937753127854538,1.0260452171287344,-148.29707370427093,1.1346,148.297,-2.1431593521102155,1.2130226402549926,-145.86609006108029,1.2584
1787381074.4874632,-2.4780309815933372,1.5966318037931375e-05,-0.00030782623374457543,-2.1236461189967377,1.1448127737575422,-146.33751843646596,1.1984,146.337,-2.123398642118419,1.2301929296465839,-146.1213793787178,1.2803
1787381074.6196537,-2.478028746924578,1.401160413731591e-05,-0.0002676731152015868,-2.271093080385145,1.325447794923296,-143.81575625909127,1.3415,143.815,-2.194873719776885,1.3300191833274184,-144.83422194065514,1.3598
1787381074.6834626,-2.4780274807852285,1.2326736293256512e-05,-0.00023402041780479988,-2.371413716195575,1.4480660220837052,-142.2050198880336,1.4520,142.205,-2.2799388437922077,1.3901476690227164,-143.54280824116614,1.4042
1787381074.812767,-2.478025128933458,7.926949894017236e-06,-0.0001466588147970277,-2.4286613073030567,1.5090599287700481,-141.36982068686345,1.5099,141.370,-2.2850106510342694,1.4540834655674455,-143.2522205529171,1.4668
1787381074.8796966,-2.4780242049515238,5.515371905434092e-06,-9.897575188629837e-05,-2.452053520349932,1.5570226191440495,-140.86343733155695,1.5572,140.863,-2.1575406529159498,1.458458532814801,-144.4726184685102,1.4932
1787381075.0076694,-2.4780230192625385,9.95527396541071e-07,-9.894168500911773e-06,-2.4459707022272617,1.6271479333193684,-140.37438166600015,1.6275,140.374,-2.155111078214048,2.3505267766538758,-140.37438166600015,2.3726
1787381075.1324096,-2.4780227027167543,-2.0243426491733235e-06,4.982572442344813e-05,-2.4949442376897983,1.761234661760448,-138.66364881511547,1.7613,138.664,-2.295703795831625,2.4761262624554456,-138.66364881511547,2.4828
1787381075.1970906,-2.478022763019163,-2.906345301799824e-06,6.687506459834441e-05,-2.537578023333331,1.8594827132545144,-137.50016619749007,1.8604,137.500,-2.376356830160928,2.556638631855436,-137.50016619749007,2.5587
1787381075.3224452,-2.4780231264823387,-3.5357105914120323e-06,7.859436546383961e-05,-2.6084426145422217,2.0839116310055443,-135.2427931413318,2.0880,135.243,-2.376356830160928,2.556638631855436,-137.50016619749007,2.5587
1787381075.392869,-2.478023356302563,-3.488340762990014e-06,7.730420500448979e-05,-2.689080529219993,2.2737942509603006,-132.8900391184294,2.2836,132.890,-2.376356830160928,2.556638631855436,-137.50016619749007,2.5587
1787381075.530362,-2.4780237932692373,-3.228360916586768e-06,7.145658698143636e-05,-2.7507030951980322,2.4260029113189865,-131.08627790347632,2.4413,131.086,-2.376356830160928,2.556638631855436,-137.50016619749007,2.5587
1787381075.5978038,-2.478023991101924,-3.0699238441146465e-06,6.80025129381658e-05,-2.7507030951980322,2.4260029113189865,-131.08627790347632,2.4413,131.086,-2.9855867176238826,3.357836480249502,-127.67216491153133,3.3960
1787381075.7239516,-2.4780243431047855,-2.7308526159601975e-06,6.12469657125351e-05,-3.0221797692302235,3.3175521613302332,-127.47728586749986,3.3619,127.477,-2.9855867176238826,3.357836480249502,-127.67216491153133,3.3960
1787381075.788239,-2.478024497326987,-2.5568439069593627e-06,5.7524606517564864e-05,-3.2128096941604505,3.79816766389445,-124.27295422561085,3.8686,124.273,-3.461179746522539,4.108882653198418,-111.770416506294,4.2249
1787381075.9259746,-2.4780247660354098,-2.2111702600034527e-06,5.016906471987563e-05,-3.4868845613427584,4.1349658163651535,-111.27692260014535,4.2563,111.277,-3.451076779918944,4.116878158729585,-111.85883030179671,4.2303
1787381075.9945362,-2.478024882021628,-2.0425876441224414e-06,4.659121023719179e-05,-3.526678170030227,4.219124127125276,-110.20382286408417,4.3475,110.204,-3.4542433723954384,4.110161512105124,-111.82736182818063,4.2245
1787381076.1266756,-2.4780250812645894,-1.719745403209712e-06,3.976332052316647e-05,-3.5521959828979695,4.321934784957911,-109.19885215374808,4.4534,109.199,-3.449664694656592,4.100531022582757,-111.9564365063974,4.2141
