t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err,fix_x,fix_y,fix_yaw,fix_err
1787380665.5844142,-2.478024368871723,-1.6964586587755429e-06,4.09512876942939e-05,-2.198993337945665,-1.3926391760783097,-36.063596788709006,1.4203,36.064,-2.205423196480989,-1.3997978044852608,-35.911822221195095,1.4261
1787380665.6476324,-2.478024479142399,-1.7558817559743737e-06,4.187212345815129e-05,-2.200546321176256,-1.3985833397776888,-35.96727487859822,1.4258,35.967,-2.2498553392408414,-1.3695261133114673,-35.96727487859822,1.3884
1787380665.777192,-2.478024693997307,-1.7669919947561647e-06,4.158604195895768e-05,-2.214832158690297,-1.3955836830046853,-36.76172475657315,1.4202,36.762,-2.2128707194347386,-1.3420362825126535,-36.76172475657315,1.3680
1787380665.8960683,-2.4780248911906124,-1.6784253402217226e-06,3.990075487783281e-05,-2.2181681112607032,-1.3864606476219796,-37.51929471075027,1.4106,37.519,-2.1921543202619755,-1.3191085038084593,-37.51929471075027,1.3497
1787380665.9549763,-2.478024981130697,-1.6106974236247446e-06,3.836455175746597e-05,-2.2174515294116826,-1.3808562455911373,-37.90180428318218,1.4052,37.902,-2.1738027733561567,-1.3066265614170502,-37.90180428318218,1.3416
1787380666.0730906,-2.4780251423411017,-1.4427000063444654e-06,3.4608228531306615e-05,-2.211489086753126,-1.3655677105718913,-38.6375106634261,1.3913,38.638,-2.164885193549034,-1.267411739485983,-38.6375106634261,1.3055
1787380666.1925366,-2.4780252788002106,-1.2536188250893935e-06,3.0489732954033742e-05,-2.2029938620396323,-1.34630681320535,-39.326911751673535,1.3741,39.327,-2.130492827194815,-1.2562823796938474,-39.326911751673535,1.3035
1787380666.2508874,-2.4780253381773556,-1.1542818842976517e-06,2.830967568777256e-05,-2.1954733215566637,-1.3378084809670234,-39.68658898579824,1.3673,39.687,-2.1240522304783154,-1.239852014867297,-39.68658898579824,1.2894
1787380666.3698745,-2.478025441462854,-9.582943260771145e-07,2.4640771945651737e-05,-2.1802761362002934,-1.3181407194349009,-40.36750099092814,1.3514,40.368,-2.1010278386123677,-1.2226189704645212,-40.36750099092814,1.2794
1787380666.488689,-2.478025525735864,-7.679382312537984e-07,2.057249768413795e-05,-2.1634727081963803,-1.2970301171109064,-41.08067128179472,1.3346,41.081,-2.0895058759066387,-1.1810262880343274,-41.08067128179472,1.2433
1787380666.5473843,-2.4780255617032276,-6.761039783277298e-07,1.8593039850441076e-05,-2.1568576925229372,-1.2833921695686359,-41.425720305240546,1.3230,41.426,-2.067293477902757,-1.174901911130213,-41.425720305240546,1.2446
1787380666.666508,-2.478025622927171,-5.047233546805912e-07,1.4934980513471847e-05,-2.1390319779624525,-1.259662060559859,-42.10538134746924,1.3045,42.105,-2.067293477902757,-1.174901911130213,-41.425720305240546,1.2446
1787380666.7970126,-2.4780256718667286,-3.467422311016939e-07,1.152486035937567e-05,-2.131168170027825,-1.2520962994565277,-42.92598955570004,1.2993,42.926,-2.067293477902757,-1.174901911130213,-41.425720305240546,1.2446
1787380666.861506,-2.478025692548262,-2.748127309690088e-07,1.0007700117505351e-05,-2.12558802158648,-1.2470438430756299,-43.518513922470255,1.2959,43.519,-2.067293477902757,-1.174901911130213,-41.425720305240546,1.2446
1787380666.9882684,-2.4780257274581228,-1.3984989802385867e-07,7.639700266221824e-06,-2.12558802158648,-1.2470438430756299,-43.518513922470255,1.2959,43.519,-2.067293477902757,-1.174901911130213,-41.425720305240546,1.2446
1787380667.053866,-2.4780257421119303,-7.9323009497754e-08,6.320058066413554e-06,-2.1146840458373743,-1.2378030135324647,-44.71372097655804,1.2900,44.714,-2.067293477902757,-1.174901911130213,-41.425720305240546,1.2446
1787380667.1917777,-2.478025766496928,3.338669614383338e-08,3.867705011750628e-06,-2.1146840458373743,-1.2378030135324647,-44.71372097655804,1.2900,44.714,-2.067293477902757,-1.174901911130213,-41.425720305240546,1.2446
1787380667.258726,-2.478025776677843,8.326319259757751e-08,2.8167417891363993e-06,-2.1044026063049714,-1.2300234629579105,-45.88784522019794,1.2855,45.888,-2.067293477902757,-1.174901911130213,-41.425720305240546,1.2446
1787380667.3840377,-2.4780257938163524,1.7613144607237625e-07,7.781847739664857e-07,-2.1044026063049714,-1.2300234629579105,-45.88784522019794,1.2855,45.888,-2.067293477902757,-1.174901911130213,-41.425720305240546,1.2446
1787380667.4504771,-2.478025801081228,2.1682796346486448e-07,-1.2382237595741136e-07,-2.094511438305321,-1.2234525962381533,-47.07259737950548,1.2822,47.073,-2.067293477902757,-1.174901911130213,-41.425720305240546,1.2446
1787380667.5758307,-2.4780258129732147,2.9258046652905385e-07,-1.2633922480642702e-06,-2.0897132830900507,-1.220645869237323,-47.66950377909949,1.2809,47.670,-2.067293477902757,-1.174901911130213,-41.425720305240546,1.2446
1787380667.6383038,-2.4780258177866816,3.2525260884719146e-07,-1.964139731768763e-06,-2.0897132830900507,-1.220645869237323,-47.66950377909949,1.2809,47.670,-2.067293477902757,-1.174901911130213,-41.425720305240546,1.2446
1787380667.7688713,-2.4780258260572126,3.8639754387304395e-07,-3.348504651444095e-06,-2.08067694299909,-1.215980026094038,-48.849511668830665,1.2793,48.850,-2.067293477902757,-1.174901911130213,-41.425720305240546,1.2446
1787380667.8914864,-2.478025832551503,4.3820959877072436e-07,-4.53069919720932e-06,-2.08067694299909,-1.215980026094038,-48.849511668830665,1.2793,48.850,-2.067293477902757,-1.174901911130213,-41.425720305240546,1.2446
1787380667.9525323,-2.4780258351910014,4.6165301807165877e-07,-5.06523005679886e-06,-2.0721985362362507,-1.212512802822996,-50.03559127135016,1.2786,50.036,-2.067293477902757,-1.174901911130213,-41.425720305240546,1.2446
1787380668.0814114,-2.4780258397923394,5.03016424640326e-07,-5.479658873392371e-06,-2.068195900750876,-1.2112509621257184,-50.62852193421627,1.2787,50.629,-2.067293477902757,-1.174901911130213,-41.425720305240546,1.2446
1787380668.1459308,-2.478025841782685,5.217354847994102e-07,-5.92374338088081e-06,-2.068195900750876,-1.2112509621257184,-50.62852193421627,1.2787,50.629,-2.067293477902757,-1.174901911130213,-41.425720305240546,1.2446
1787380668.272311,-2.4780258447505594,5.54491808208384e-07,-6.714551324324541e-06,-2.060722788507928,-1.2095726138653766,-51.81296795276234,1.2795,51.813,-2.067293477902757,-1.174901911130213,-41.425720305240546,1.2446
1787380668.3364403,-2.478025845901001,5.693579745027024e-07,-7.077922954621262e-06,-2.060722788507928,-1.2095726138653766,-51.81296795276234,1.2795,51.813,-2.067293477902757,-1.174901911130213,-41.425720305240546,1.2446
1787380668.4696076,-2.478025848057634,5.952546898476524e-07,-7.727038672517553e-06,-2.053975414027772,-1.2090460008976391,-52.996050566242005,1.2813,52.996,-1.655594838887614,-0.8033151977849231,-52.996050566242005,1.1497
1787380668.541086,-2.47802584901853,6.071029343656103e-07,-8.047462848526788e-06,-2.0082466972014203,-1.079160252324216,-53.059282561811436,1.1770,53.059,-1.655594838887614,-0.8033151977849231,-52.996050566242005,1.1497
1787380668.6754735,-2.4780258483556565,5.273455745574175e-07,-6.613071445480446e-06,-1.9992958117585697,-1.069438604778267,-53.9770897447539,1.1717,53.977,-1.655594838887614,-0.8033151977849231,-52.996050566242005,1.1497
1787380668.7413864,-2.478025842629462,2.0566170000886163e-07,2.0996033593798296e-07,-1.9992958117585697,-1.069438604778267,-53.9770897447539,1.1717,53.977,-1.655594838887614,-0.8033151977849231,-52.996050566242005,1.1497
1787380668.870079,-2.478025820291453,-8.10645812469651e-07,2.0005418921619236e-05,-1.9882606766874242,-1.0578304113791483,-55.15082429134762,1.1657,55.151,-1.655594838887614,-0.8033151977849231,-52.996050566242005,1.1497
1787380668.938582,-2.4780258039062333,-1.3308034075735305e-06,3.0101388431057662e-05,-1.9882606766874242,-1.0578304113791483,-55.15082429134762,1.1657,55.151,-1.655594838887614,-0.8033151977849231,-52.996050566242005,1.1497
