t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err
1787244771.1013715,-0.362719209035517,-0.0015922923914569724,3.608358622951602e-05,,,,,
1787244771.1702218,-0.3627192090117541,-0.0015922923440453568,3.663020707195377e-05,,,,,
1787244771.3074265,-0.3627192089535234,-0.001592292344160998,3.663081653254756e-05,,,,,
1787244771.376846,-0.3627192090291485,-0.0015922923282447315,3.66301296674785e-05,,,,,
1787244771.5192268,-0.36271920899555155,-0.0015922923429110302,3.663064656130823e-05,,,,,
1787244771.5908563,-0.36271920907467264,-0.0015922923292435896,3.6630440178054617e-05,,,,,
1787244771.663073,-0.3627192090676467,-0.0015922923914175404,3.608410257842181e-05,,,,,
1787244771.8045208,-0.3627192090196797,-0.001592292394276798,3.6084417249862166e-05,,,,,
1787244771.8751025,-0.362719208990686,-0.0015922923441618198,3.6631134835208376e-05,,,,,
1787244772.011172,-0.36271920905884664,-0.001592292391958874,3.608453199129778e-05,,,,,
1787244772.0800207,-0.3627192090358051,-0.0015922923428844733,3.6631087158334344e-05,,,,,
1787244772.2270806,-0.3627192089786685,-0.0015922923430481111,3.663157503680427e-05,,,,,
1787244772.2858784,-0.36271920905465976,-0.001592292328824199,3.663110543781243e-05,,,,,
1787244772.425892,-0.36271920902170685,-0.0015922923435259433,3.663150028506612e-05,,,,,
1787244772.494411,-0.3627192089939728,-0.0015922923938180853,3.6085071118842346e-05,,,,,
1787244772.5737197,-0.3627192089636489,-0.0015922923437134081,3.6632050904207706e-05,,,,,
1787244772.7217844,-0.362719209029681,-0.0015922923915916737,3.608529088407188e-05,,,,,
1787244772.7898297,-0.3627192090058163,-0.001592292342537202,3.6631883280839565e-05,,,,,
1787244772.861792,-0.36271920897782634,-0.0015922923945404551,3.6085381356705394e-05,,,,,
1787244773.0053093,-0.3627192090228812,-0.0015922923285493983,3.6631782435860096e-05,,,,,
1787244773.0734327,-0.3627192090131473,-0.0015922923906376127,3.6085617729293855e-05,,,,,
1787244773.2096343,-0.36271920906827004,-0.0015922923279426628,3.6632006618385775e-05,,,,,
1787244773.278071,-0.36271920906116806,-0.0015922923918259358,3.60857316779679e-05,,,,,
1787244773.4104295,-0.36271920901314997,-0.0015922923947246546,3.608599778503067e-05,,,,,
1787244773.4774113,-0.36271920898417787,-0.001592292342929891,3.66327088466867e-05,,,,,
1787244773.6196754,-0.3627192090523198,-0.0015922923907571536,3.6086067905230294e-05,,,,,
1787244773.688917,-0.3627192090292425,-0.001592292343385591,3.663264257273124e-05,,,,,
1787244773.8273003,-0.36271920897210963,-0.0015922923435689757,3.6633134489636746e-05,,,,,
1787244773.9008586,-0.3627192090481462,-0.0015922923276666713,3.663257603062243e-05,,,,,
1787244773.974645,-0.3627192090388152,-0.0015922923914355584,3.608641738988062e-05,,,,,
1787244774.1173217,-0.36271920898745097,-0.001592292394376003,3.6086535792048905e-05,,,,,
1787244774.1930094,-0.3627192089571771,-0.0015922923425807874,3.6633530552535614e-05,,,,,
1787244774.274726,-0.36271920903283994,-0.0015922923283888549,3.663288310393257e-05,,,,,
1787244774.415973,-0.3627192089993599,-0.0015922923431142837,3.663334609354326e-05,,,,,
1787244774.4847019,-0.3627192090785629,-0.0015922923277770862,3.663311715841218e-05,,,,,
1787244774.6252193,-0.36271920904978644,-0.0015922923426137914,3.663333430071346e-05,,,,,
