t,gt_x,gt_y,gt_yaw,ekf_x,ekf_y,ekf_yaw,ekf_err,ekf_yaw_err,fix_x,fix_y,fix_yaw,fix_err
1787380006.9244375,-2.4780267839846224,7.441796971707499e-07,-1.0800011654616501e-05,,,,,,,,,
1787380007.0231671,-2.478026783970912,7.442278996918803e-07,-1.0433409916327724e-05,,,,,,,,,
1787380007.1504576,-2.478026783927143,7.442002750667181e-07,-1.0670902999720025e-05,,,,,,,,,
1787380007.2438586,-2.4780267840469232,7.441852705702664e-07,-1.0845486199515548e-05,,,,,,,,,
1787380007.3433602,-2.478026784015155,7.44255506188857e-07,-1.0479117460887358e-05,,,,,,,,,
1787380007.4387577,-2.4780267840712273,7.442135502089069e-07,-1.0657091760338998e-05,,,,,,,,,
1787380007.5426288,-2.47802678397334,7.441337120415526e-07,-1.0826786393983423e-05,,,,,,,,,
1787380007.6309903,-2.478026784062452,7.442829570766384e-07,-1.0406393092011144e-05,,,,,,,,,
1787380007.7278774,-2.478026784071908,7.441979971218498e-07,-1.0522148356915774e-05,,,,,,,,,
1787380007.82197,-2.478026783988913,7.442602180007709e-07,-1.0647433510193334e-05,,,,,,,,,
1787380007.9136105,-2.478026792460151,6.920363723975521e-07,-9.734137273257194e-06,,,,,,,,,
1787380008.0426097,-2.4780269308359473,-1.703683847977303e-07,7.5619071577757475e-06,,,,,,,,,
1787380008.1247277,-2.4780271088696426,-1.303503194045023e-06,2.9616776496799598e-05,,,,,,,,,
1787380008.243828,-2.47802737830803,-3.2333299364867697e-06,6.696101176533648e-05,,,,,,,,,
1787380008.3249562,-2.478027493662393,-4.564438259806002e-06,9.25314456869874e-05,,,,,,,,,
1787380008.4466338,-2.4780273255541063,-5.483823474798009e-06,0.00010992198423416188,,,,,,,,,
1787380008.5371277,-2.478027062110084,-5.246124911951425e-06,0.0001043094028120277,,,,,,,,,
1787380008.6361153,-2.478026483997634,-2.7187887768599325e-06,5.324280106840936e-05,,,,,,,,,
1787380008.7481244,-2.4780262961896566,3.3618665380819143e-07,-7.303240755085534e-06,,,,,,,,,
1787380008.827338,-2.478026492741098,2.5029065346793386e-06,-5.0311867988683045e-05,,,,,,,,,
1787380008.9385648,-2.4780269855544392,5.595578268342068e-06,-0.00011129189780915714,,,,,,,,,
1787380009.0456061,-2.478027595269638,8.091838822617053e-06,-0.00015948197251066233,,,,,,,,,
1787380009.114254,-2.478027953899481,9.378225391114725e-06,-0.00018429357597923786,,,,,,,,,
1787380009.2468014,-2.4780283426920393,1.0949841993515065e-05,-0.0002142474602174241,,,,,,,,,
1787380009.340378,-2.47802849254534,1.2011881739965876e-05,-0.00023432313375722008,,,,,,,,,
1787380009.443829,-2.478028416885707,1.2914602890409354e-05,-0.0002511081152303618,,,,,,,,,
1787380009.5450222,-2.4780280621116466,1.3557945648635792e-05,-0.0002621266378747815,,,,,,,,,
1787380009.6456869,-2.478027242707642,1.3109415893734598e-05,-0.0002521914777608571,,,,,,,,,
1787380009.7258713,-2.4780263049133855,1.2511738597896239e-05,-0.00023926513592253224,,,,,,,,,
1787380009.8416607,-2.4780246830754313,9.666857799596815e-06,-0.00018169704171017338,,,,,,-0.21024031966589796,-0.006223085316826074,180.0,2.2678
1787380009.9400024,-2.478023837578973,8.61027586251267e-06,-0.0001594490181988994,-0.21098898437262154,-0.006124689656407768,180.0,2.2670,180.000,-0.2329699521460884,-0.0017395417202465434,180.0,2.2451
1787380010.041849,-2.478023019372759,7.933736497844489e-06,-0.00014531109314706639,-0.21646491788497302,-0.012154829852098275,179.96691823096214,2.2616,179.967,-0.2074259205946385,7.534926898347928e-05,180.0,2.2706
1787380010.1501493,-2.47802217513745,7.309216518801905e-06,-0.00013213305916238624,-0.21725391157479904,-0.012151639751390572,179.96691818368942,2.2608,179.967,-0.2074259205946385,7.534926898347928e-05,180.0,2.2706
1787380010.2067091,-2.4780217223795797,7.081457867384207e-06,-0.0001272515521279066,-0.21802190363832566,-0.01214850131994722,179.96691813751016,2.2600,179.967,-0.2074259205946385,7.534926898347928e-05,180.0,2.2706
1787380010.3130765,-2.478020952160609,5.655879818878125e-06,-9.830803741097918e-05,-0.21802190363832566,-0.01214850131994722,179.96691813751016,2.2600,179.967,-0.2074259205946385,7.534926898347928e-05,180.0,2.2706
1787380010.4282713,-2.478020278715694,4.249441421992037e-06,-6.921482202710081e-05,-0.21954914340964563,-0.012142161332358651,179.9669180451872,2.2585,179.967,-0.2074259205946385,7.534926898347928e-05,180.0,2.2706
1787380010.541005,-2.4780201368629595,1.7434201888187303e-06,-1.9166749283361813e-05,-0.22030889997690956,-0.012138957670138435,179.9669179990128,2.2577,179.967,-0.2074259205946385,7.534926898347928e-05,180.0,2.2706
1787380010.5986023,-2.478020302523715,2.801473496707855e-07,9.8916426325411e-06,-0.22030889997690956,-0.012138957670138435,179.9669179990128,2.2577,179.967,-0.2074259205946385,7.534926898347928e-05,180.0,2.2706
1787380010.7165933,-2.478021338751631,-3.2131622324411155e-06,7.895159209710253e-05,-0.2218202140722865,-0.01213248496008154,179.96691790666657,2.2562,179.967,-0.2074259205946385,7.534926898347928e-05,180.0,2.2706
1787380010.8287168,-2.478023255426351,-6.937454946048639e-06,0.00015212432677866715,-0.2218202140722865,-0.01213248496008154,179.96691790666657,2.2562,179.967,-0.2074259205946385,7.534926898347928e-05,180.0,2.2706
1787380010.9433694,-2.4780257602699773,-1.0329975552857601e-05,0.00021884188566255892,-0.2233205740387214,-0.012125925178715035,179.96691781432526,2.2547,179.967,-0.2074259205946385,7.534926898347928e-05,180.0,2.2706
1787380011.0002751,-2.4780272651008293,-1.2033418629486746e-05,0.0002518270650452863,-0.224066663824059,-0.012122612564234164,179.9669177681554,2.2540,179.967,2.783504999543646,0.7221987999122511,-168.02706986898465,5.3109
1787380011.130241,-2.478029888222658,-1.4377888394514652e-05,0.0002967027690862981,4.387211039520271,1.367820559993553,-88.94225825288463,7.0002,88.943,4.4070870920260115,1.5906432790163458,-88.5904176202321,7.0665
1787380011.2450051,-2.4780325697536933,-1.6633805372968282e-05,0.00033944934536954445,4.455510866232387,1.46352092254156,-89.71715019112075,7.0863,89.717,4.411315923739317,1.59889050573497,-88.63762312638433,7.0725
1787380011.302748,-2.478033098207868,-1.6696210134582956e-05,0.0003398480341230569,4.465889588831063,1.48339328294032,-89.7143028894616,7.1006,89.715,4.407180204643921,1.5819201760424375,-88.57181174557559,7.0646
1787380011.4232836,-2.4780345108623076,-1.7698971726557285e-05,0.0003582456484781019,4.470113602857825,1.5063814656040102,-89.70353713634671,7.1096,89.704,4.419308318688983,1.571356844465537,-88.75810834876408,7.0741
1787380011.5346968,-2.4780352095570177,-1.8418539329134357e-05,0.00037048438975687963,4.468500140875579,1.5251482177259659,-89.74194184897615,7.1120,89.742,4.420968087935864,1.5956034817004305,-88.86871707482312,7.0811
1787380011.6486056,-2.47803478997058,-1.8283604995021163e-05,0.00036593853553893227,4.468948184068457,1.5274144798730114,-89.75090374619514,7.1129,89.751,4.477817762328136,1.5165022812854643,-89.90866727849267,7.1192
1787380011.707716,-2.4780342565153584,-1.797499930034633e-05,0.0003589662308883017,4.469208391972973,1.5281624262525901,-89.74109621529384,7.1133,89.741,4.458120791760526,1.5043608865824531,-89.45520513644234,7.0974
1787380011.8176916,-2.4780326167582594,-1.6730988811839074e-05,0.0003327322603920121,4.473394717163219,1.520180846897611,-89.74928340121492,7.1157,89.750,4.533505011573022,1.4440170720442027,-90.8926096849578,7.1587
1787380011.9299607,-2.4780304421246857,-1.4506923257221678e-05,0.0002873834020988396,4.487735084876989,1.4980868149975888,-90.00054223841651,7.1250,90.001,4.529798426920112,1.405963069317833,-90.76873892800074,7.1475
1787380012.047804,-2.4780281668814332,-1.1478872744619941e-05,0.00022698454548456248,4.4959735528384455,1.4627442405634006,-90.10907091792919,7.1258,90.109,4.568851925165987,1.3979065759430729,-91.47295206052193,7.1842
1787380012.1055424,-2.4780270626413716,-9.593037772375357e-06,0.00018930486722817168,4.509861813315469,1.4533993099897395,-90.35584481120834,7.1374,90.356,4.587026268824777,1.3621887477911665,-91.89081565854248,7.1952
1787380012.2199416,-2.478025251409048,-5.649491577442231e-06,0.00011082063298246126,4.53255916912804,1.424733491660623,-90.82149979325358,7.1539,90.822,4.591915527823974,1.3641086022122233,-91.95793622920098,7.2003
1787380012.3348215,-2.478024164071456,-2.2926297347818016e-06,4.420586490776848e-05,4.557225276483577,1.3971788027207903,-91.19712743302689,7.1726,91.197,4.6058919169620625,1.3283790195088083,-92.23167533442589,7.2074
1787380012.3949454,-2.478023869749863,-9.953222319127291e-07,1.854873545682798e-05,4.567418352273409,1.3810722577472903,-91.42872833101619,7.1795,91.429,4.602991400435983,1.3355154028568426,-92.17007750844456,7.2059
1787380012.518661,-2.4780236197724457,9.437538722954211e-07,-1.9699465243338486e-05,4.579405330366129,1.3643820968681644,-91.68397997370153,7.1881,91.684,4.58661428995356,1.3323146473472989,-91.81017437270921,7.1892
1787380012.6337752,-2.47802365397914,2.1942609782663546e-06,-4.3635311405804455e-05,4.5920279695097665,1.3428981992810247,-91.99454001584087,7.1965,91.994,4.588322402831466,1.2565072245532543,-91.99454001584087,7.1772
1787380012.7511253,-2.4780238359909963,2.9487769192413293e-06,-5.8277582628541466e-05,4.604262033110489,1.3187522797561329,-92.22960018998533,7.2040,92.230,4.610347169138258,1.3120409715704768,-92.26156527737743,7.2088
1787380012.8121455,-2.478023955085165,3.1863811232129516e-06,-6.284470154495548e-05,4.6089690093913624,1.3124741058472302,-92.23935364290537,7.2075,92.239,4.616984072121636,1.3016604641119993,-92.45898404955058,7.2134
1787380012.9313514,-2.4780242142156976,3.456424643450898e-06,-6.787842664838263e-05,4.6246052039857535,1.3025160316853808,-92.54990612816283,7.2211,92.550,4.619836915192102,1.2647730000598791,-92.54990612816283,7.2097
1787380013.0477521,-2.4780244735892447,3.5275084232209454e-06,-6.897866008032479e-05,4.626299532945737,1.2876900349721774,-92.5865427882639,7.2201,92.586,4.60844319129225,1.3288511570727741,-92.21580429611787,7.2100
1787380013.1067882,-2.4780245969787815,3.5095375103758183e-06,-6.846892600398133e-05,4.630478221706327,1.290833811229549,-92.69656835588917,7.2248,92.696,4.626734830970745,1.256615352806382,-92.69656835588917,7.2150
1787380013.221664,-2.478024823977172,3.403878898397821e-06,-6.558595605107307e-05,4.632391562686837,1.2738024434624324,-92.76309599478225,7.2236,92.763,4.631614926679152,1.2549826704066742,-92.76309599478225,7.2196
1787380013.3216953,-2.478025020992247,3.233886582966304e-06,-6.198686265180432e-05,4.637925884703905,1.262087414161758,-92.85445418169363,7.2270,92.854,4.634796882536513,1.26534855390558,-92.85445418169363,7.2245
1787380013.4278462,-2.478025187545344,3.031203729559419e-06,-5.7780946086376246e-05,4.641919304687951,1.2554292067219983,-92.932262513783,7.2298,92.932,4.63829059012499,1.2512728527463786,-92.932262513783,7.2255
1787380013.5382814,-2.478025325680596,2.815319651925486e-06,-5.336355957551083e-05,4.646653452471881,1.2496053938046479,-93.01531115540296,7.2334,93.015,4.644889159321059,1.2621929226129414,-93.01531115540296,7.2339
1787380013.6472747,-2.4780254384684537,2.597320457295156e-06,-4.8338605720665415e-05,4.651556253474336,1.2464047354226364,-93.10227244037847,7.2377,93.102,4.648983597562364,1.2487857471234505,-93.10227244037847,7.2356
1787380013.6990833,-2.4780254866178466,2.492359724169793e-06,-4.62440821135838e-05,4.654052358976472,1.2430013887836866,-93.14694812558223,7.2396,93.147,4.649987686798791,1.2422283661940328,-93.10227244037847,7.2354
1787380013.8090975,-2.4780255679630443,2.288447011261261e-06,-4.211276604695647e-05,4.659546671647705,1.2372025672337377,-93.24986406412124,7.2440,93.250,4.6589404499130085,1.2410323396914413,-93.24986406412124,7.2441
1787380013.91754,-2.4780256327470562,2.1004327946754474e-06,-3.833711310926484e-05,4.6635777464830905,1.2373548827063492,-93.31642771426513,7.2480,93.316,4.658837686082596,1.2409617400021546,-93.31642771426513,7.2439
1787380014.0305028,-2.4780256838689225,1.929398793363554e-06,-3.4929810158583094e-05,4.665703539430812,1.2349252563251185,-93.35890864095417,7.2497,93.359,4.658751987985278,1.2532411665701804,-93.35890864095417,7.2460
1787380014.1443248,-2.4780257240321504,1.7740732330909378e-06,-3.12851499970707e-05,4.672043445245053,1.2326711023570165,-93.4886518253265,7.2555,93.489,4.664499143470822,1.2525954681193774,-93.4886518253265,7.2515
1787380014.201742,-2.4780257406937185,1.704061516777345e-06,-2.991741848658079e-05,4.674448284452379,1.2340904477548733,-93.53313473515672,7.2582,93.533,4.667585262622452,1.252248348113747,-93.53313473515672,7.2545
1787380014.347137,-2.4780257793649594,1.5155797935712282e-06,-2.622442769701849e-05,4.6783234795409845,1.2356431338309786,-93.61291757451056,7.2622,93.613,4.670774293141496,1.2457610295246782,-93.61291757451056,7.2565
1787380014.4493496,-2.4780257981448797,1.407762048274752e-06,-2.409420004943431e-05,4.682334660039444,1.2378225928679394,-93.68804793283607,7.2666,93.688,4.675570116559571,1.2515932147227908,-93.68804793283607,7.2623
1787380014.50416,-2.4780258057289224,1.360311364867917e-06,-2.320881948812925e-05,4.686330086375971,1.2381030717213397,-93.77320537034059,7.2705,93.773,4.679583511744896,1.251265681174032,-93.7732053703406,7.2662
1787380014.6148229,-2.4780258182066515,1.2723841407538987e-06,-2.1513661698858686e-05,4.688298844101015,1.239164726929399,-93.81174217121024,7.2727,93.812,4.6828088881437795,1.2447976319639151,-93.81174217121024,7.2682
1787380014.7286894,-2.4780258278695624,1.197016364641991e-06,-1.95366408343345e-05,4.692797672058558,1.2381848387883887,-93.91777468037091,7.2769,93.918,4.684972304229357,1.2508280041032478,-93.91777468037091,7.2714
1787380014.7955484,-2.4780258318755184,1.1628375584025433e-06,-1.887807321622062e-05,4.696193625505748,1.2367911021272946,-94.00841185823332,7.2800,94.008,4.692942826434838,1.244033424472379,-94.00841185823332,7.2781
1787380014.9102306,-2.478025838200573,1.1022839594769214e-06,-1.7758313210700548e-05,4.698758851408932,1.2368271358614944,-94.05869663041025,7.2826,94.059,4.691537069695685,1.2565410347097044,-94.05869663041025,7.2788
1787380015.0055163,-2.4780258428668245,1.0506070258392607e-06,-1.6831419993224303e-05,4.703016276336716,1.2422531967715449,-94.1318249370386,7.2877,94.132,4.697878970554236,1.2436478389762633,-94.1318249370386,7.2829
1787380015.1170838,-2.4780258464324487,1.0047648774899913e-06,-1.5999675122447083e-05,4.541628423065242,1.269272444000839,-90.72156401265867,7.1335,90.722,4.533429737034304,1.2505676887761683,-90.72156401265867,7.1221
1787380015.2281897,-2.4780258492341782,9.66484744009151e-07,-1.4790595208923868e-05,4.5335700145111035,1.262438303451326,-90.66626626409463,7.1243,90.666,4.535094428157091,1.2628986196341674,-90.66626626409463,7.1259
1787380015.3364775,-2.478025851149333,9.340892124869138e-07,-1.4263408508027712e-05,4.5275019311388345,1.2623115341810272,-90.63124657627282,7.1183,90.631,4.530703359024844,1.2444242805110353,-90.63124657627282,7.1183
1787380015.4495296,-2.4780258526159824,9.04974047511326e-07,-1.3775758195404072e-05,4.521796422515196,1.2577951276422654,-90.58798591955339,7.1119,90.588,4.527629285889344,1.2567752951743425,-90.58798591955339,7.1175
1787380015.5031095,-2.478025853237169,8.933046746784914e-07,-1.3608459765718887e-05,4.518602648342327,1.2572651460743782,-90.56213144846451,7.1087,90.562,4.525427178804706,1.2567926935559646,-90.56213144846451,7.1153
1787380015.6051517,-2.478025854109639,8.700669087057455e-07,-1.323678258061682e-05,4.513693807202465,1.2554924657162918,-90.51378151948508,7.1035,90.514,4.525681829306898,1.2506062328558856,-90.51378151948508,7.1145
1787380015.714377,-2.478025854869843,8.511421212635789e-07,-1.2430026341588595e-05,4.510055517530423,1.2552618671384763,-90.46710584756222,7.0999,90.467,4.522980628251543,1.2383584876081453,-90.46710584756222,7.1097
1787380015.8257103,-2.478025855310179,8.348421851926365e-07,-1.2217772255894554e-05,4.5059748430511855,1.249534739649607,-90.4051658431377,7.0949,90.405,4.519436770151301,1.2445054865226122,-90.4051658431377,7.1073
1787380015.9311836,-2.4780258556174526,8.210037268056728e-07,-1.2057332822857244e-05,4.502239900858229,1.2467436169979844,-90.34738244310844,7.0907,90.347,4.518468504583076,1.2506562053429309,-90.34738244310844,7.1074
1787380016.0339172,-2.4780258558156802,8.093621217803413e-07,-1.1945410722659986e-05,4.499156669525719,1.2472780596282074,-90.29397302444801,7.0878,90.294,4.51430544327985,1.2506799415945324,-90.29397302444801,7.1033
1787380016.1355236,-2.478025856027072,7.993746042096077e-07,-1.1310028280229922e-05,4.4964373535283695,1.2478111090052495,-90.24466592086308,7.0852,90.245,4.512703836651577,1.25068557801452,-90.24466592086308,7.1017
